run,applicationCompletionTime,applicationDeltaBeforeComputing,jobCompletionTime_J0,jobCompletionTime_J1,jobCompletionTime_J10,jobCompletionTime_J11,jobCompletionTime_J2,jobCompletionTime_J3,jobCompletionTime_J4,jobCompletionTime_J5,jobCompletionTime_J6,jobCompletionTime_J7,jobCompletionTime_J8,jobCompletionTime_J9,nTask_S0,maxTask_S0,avgTask_S0,SHmax_S0,SHavg_S0,Bmax_S0,Bavg_S0,nTask_S1,maxTask_S1,avgTask_S1,SHmax_S1,SHavg_S1,Bmax_S1,Bavg_S1,nTask_S10,maxTask_S10,avgTask_S10,SHmax_S10,SHavg_S10,Bmax_S10,Bavg_S10,nTask_S11,maxTask_S11,avgTask_S11,SHmax_S11,SHavg_S11,Bmax_S11,Bavg_S11,nTask_S12,maxTask_S12,avgTask_S12,SHmax_S12,SHavg_S12,Bmax_S12,Bavg_S12,nTask_S13,maxTask_S13,avgTask_S13,SHmax_S13,SHavg_S13,Bmax_S13,Bavg_S13,nTask_S14,maxTask_S14,avgTask_S14,SHmax_S14,SHavg_S14,Bmax_S14,Bavg_S14,nTask_S2,maxTask_S2,avgTask_S2,SHmax_S2,SHavg_S2,Bmax_S2,Bavg_S2,nTask_S3,maxTask_S3,avgTask_S3,SHmax_S3,SHavg_S3,Bmax_S3,Bavg_S3,nTask_S4,maxTask_S4,avgTask_S4,SHmax_S4,SHavg_S4,Bmax_S4,Bavg_S4,nTask_S5,maxTask_S5,avgTask_S5,SHmax_S5,SHavg_S5,Bmax_S5,Bavg_S5,nTask_S6,maxTask_S6,avgTask_S6,SHmax_S6,SHavg_S6,Bmax_S6,Bavg_S6,nTask_S7,maxTask_S7,avgTask_S7,SHmax_S7,SHavg_S7,Bmax_S7,Bavg_S7,nTask_S8,maxTask_S8,avgTask_S8,SHmax_S8,SHavg_S8,Bmax_S8,Bavg_S8,nTask_S9,maxTask_S9,avgTask_S9,SHmax_S9,SHavg_S9,Bmax_S9,Bavg_S9,users,dataSize,nContainers
application_1524838829941_0814,206980,23400,3145,74688,1454,1191,86676,665,2056,703,2500,671,5665,1677,1,1911,1911.0,0,0.0,0,0.0,219,10045,6313.58904109589,0,0.0,0,0.0,219,221,106.73059360730593,576565,250460.53881278538,2242,2236.4657534246576,219,149,6.406392694063927,0,0.0,0,0.0,219,134,93.67579908675799,352795,236303.46575342465,2242,2236.5981735159817,219,162,6.164383561643835,0,0.0,0,0.0,219,153,90.87214611872146,0,0.0,0,0.0,219,9258,7463.347031963471,0,0.0,0,0.0,219,78,29.488584474885844,0,0.0,0,0.0,219,647,131.07305936073058,0,0.0,0,0.0,219,73,41.77168949771689,0,0.0,0,0.0,219,378,193.8904109589041,0,0.0,0,0.0,219,62,43.073059360730596,0,0.0,0,0.0,219,872,405.26940639269407,4918962,612771.2785388128,708,707.4657534246576,219,380,35.67123287671233,0,0.0,0,0.0,1,27,40
application_1524838829941_0680,207130,25874,2988,74515,1484,1527,83711,745,2009,765,2381,998,5816,1733,1,1734,1734.0,0,0.0,0,0.0,219,10072,6302.7899543379,0,0.0,0,0.0,219,248,102.85388127853881,408426,231202.68493150684,2242,2236.4657534246576,219,255,7.031963470319635,0,0.0,0,0.0,219,163,97.50228310502283,483428,240661.96803652967,2242,2236.5981735159817,219,156,6.557077625570776,0,0.0,0,0.0,219,527,95.98173515981735,0,0.0,0,0.0,219,9600,7393.890410958904,0,0.0,0,0.0,219,79,30.15068493150685,0,0.0,0,0.0,219,519,132.74429223744292,0,0.0,0,0.0,219,82,43.55251141552512,0,0.0,0,0.0,219,316,192.12785388127853,0,0.0,0,0.0,219,76,43.210045662100455,0,0.0,0,0.0,219,792,401.5981735159817,4555101,596398.5616438356,708,707.4657534246576,219,1016,41.06849315068493,0,0.0,0,0.0,1,27,40
application_1524838829941_0816,205816,25040,2759,74354,1482,1266,84155,619,1741,778,2468,658,5856,2029,1,1586,1586.0,0,0.0,0,0.0,219,10472,6302.200913242009,0,0.0,0,0.0,219,662,106.79452054794521,442525,230711.30593607307,2242,2236.4657534246576,219,231,6.940639269406392,0,0.0,0,0.0,219,137,96.22831050228311,350047,228117.0091324201,2242,2236.5981735159817,219,165,6.534246575342466,0,0.0,0,0.0,219,169,96.53424657534246,0,0.0,0,0.0,219,10044,7330.940639269406,0,0.0,0,0.0,219,73,29.771689497716896,0,0.0,0,0.0,219,316,125.48401826484019,0,0.0,0,0.0,219,84,43.76255707762557,0,0.0,0,0.0,219,349,195.4703196347032,0,0.0,0,0.0,219,59,42.726027397260275,0,0.0,0,0.0,219,850,411.26940639269407,4837821,610716.3333333334,708,707.4657534246576,219,417,36.89497716894977,0,0.0,0,0.0,1,27,40
application_1524838829941_0682,202100,23196,2766,73358,1959,1521,83111,620,1766,811,2358,713,5330,1918,1,1590,1590.0,0,0.0,0,0.0,219,11025,6268.885844748858,0,0.0,0,0.0,219,206,103.04109589041096,601776,236970.49771689498,2242,2236.4657534246576,219,146,6.219178082191781,0,0.0,0,0.0,219,692,102.91780821917808,524830,235735.92694063927,2242,2236.5981735159817,219,163,6.392694063926941,0,0.0,0,0.0,219,494,95.43835616438356,0,0.0,0,0.0,219,9624,7289.977168949772,0,0.0,0,0.0,219,73,30.23744292237443,0,0.0,0,0.0,219,317,125.78995433789954,0,0.0,0,0.0,219,98,43.50684931506849,0,0.0,0,0.0,219,314,191.9406392694064,0,0.0,0,0.0,219,88,43.84931506849315,0,0.0,0,0.0,219,778,404.91324200913243,5324154,607639.6027397261,708,707.4657534246576,219,392,37.76255707762557,0,0.0,0,0.0,1,27,40
application_1524838829941_0678,206041,24860,2939,74977,1904,1285,83603,640,1838,725,2391,681,5373,2262,1,1609,1609.0,0,0.0,0,0.0,219,10058,6312.13698630137,0,0.0,0,0.0,219,811,115.64840182648402,627107,242715.86757990866,2242,2236.4657534246576,219,247,6.410958904109589,0,0.0,0,0.0,219,244,101.15981735159818,493511,240128.04109589042,2242,2236.5981735159817,219,163,6.904109589041096,0,0.0,0,0.0,219,164,97.94977168949772,0,0.0,0,0.0,219,9476,7307.922374429224,0,0.0,0,0.0,219,110,30.004566210045663,0,0.0,0,0.0,219,369,127.01369863013699,0,0.0,0,0.0,219,79,42.42922374429224,0,0.0,0,0.0,219,340,194.73972602739727,0,0.0,0,0.0,219,74,43.45205479452055,0,0.0,0,0.0,219,866,406.71232876712327,10943493,647100.2374429224,708,707.4657534246576,219,385,36.178082191780824,0,0.0,0,0.0,1,27,40
application_1524838829941_0812,203773,24535,2708,73577,1426,1209,82837,1001,2424,825,2388,1059,5669,1617,1,1601,1601.0,0,0.0,0,0.0,219,9983,6287.821917808219,0,0.0,0,0.0,219,199,101.40639269406392,543200,235747.83561643836,2242,2236.4657534246576,219,249,6.71689497716895,0,0.0,0,0.0,219,158,94.52054794520548,494853,239362.5707762557,2242,2236.5981735159817,219,154,6.287671232876712,0,0.0,0,0.0,219,146,90.22831050228311,0,0.0,0,0.0,219,9810,7317.7168949771685,0,0.0,0,0.0,219,84,32.136986301369866,0,0.0,0,0.0,219,731,143.42465753424656,0,0.0,0,0.0,219,102,44.05936073059361,0,0.0,0,0.0,219,315,192.42465753424656,0,0.0,0,0.0,219,129,45.63013698630137,0,0.0,0,0.0,219,831,403.1598173515982,4609509,596643.506849315,708,707.4657534246576,219,377,36.32420091324201,0,0.0,0,0.0,1,27,40
application_1524838829941_1027,220662,19982,2750,83025,2039,1350,93715,615,2265,788,2680,730,6141,2093,1,1754,1754.0,0,0.0,0,0.0,146,9150,5887.602739726028,0,0.0,0,0.0,146,613,101.82876712328768,380993,223863.05479452055,2243,2236.3561643835615,146,100,4.636986301369863,0,0.0,0,0.0,146,620,96.32191780821918,383704,228883.8904109589,2242,2236.5890410958905,146,123,4.691780821917808,0,0.0,0,0.0,146,123,87.54794520547945,0,0.0,0,0.0,146,8198,6810.123287671233,0,0.0,0,0.0,146,62,26.445205479452056,0,0.0,0,0.0,146,608,114.94520547945206,0,0.0,0,0.0,146,94,39.23287671232877,0,0.0,0,0.0,146,242,182.46575342465752,0,0.0,0,0.0,146,79,39.86986301369863,0,0.0,0,0.0,146,712,374.8082191780822,4330587,534097.095890411,662,661.972602739726,146,728,48.794520547945204,0,0.0,0,0.0,1,18,22
application_1524838829941_0895,222910,20557,3331,83871,1567,1309,94500,642,1817,753,2736,713,6865,1664,1,2326,2326.0,0,0.0,0,0.0,146,8954,5874.534246575343,0,0.0,0,0.0,146,156,93.82191780821918,3111380,240863.57534246575,2243,2236.3561643835615,146,100,4.513698630136986,0,0.0,0,0.0,146,115,88.81506849315069,595701,223244.03424657535,2242,2236.5890410958905,146,100,4.465753424657534,0,0.0,0,0.0,146,107,84.9041095890411,0,0.0,0,0.0,146,8667,6759.95205479452,0,0.0,0,0.0,146,65,26.39041095890411,0,0.0,0,0.0,146,234,110.3972602739726,0,0.0,0,0.0,146,75,38.16438356164384,0,0.0,0,0.0,146,232,182.25342465753425,0,0.0,0,0.0,146,67,39.64383561643836,0,0.0,0,0.0,146,682,372.67123287671234,3495115,512092.98630136985,662,661.972602739726,146,769,65.45205479452055,0,0.0,0,0.0,1,18,22
application_1524838829941_1031,220569,20255,2741,83795,1564,1302,94248,605,1778,723,2707,739,5869,1650,1,1724,1724.0,0,0.0,0,0.0,146,8943,5876.445205479452,0,0.0,0,0.0,146,149,92.86986301369863,427643,223973.48630136985,2243,2236.3561643835615,146,112,4.657534246575342,0,0.0,0,0.0,146,124,89.8082191780822,322902,224814.46575342465,2242,2236.5890410958905,146,101,4.301369863013699,0,0.0,0,0.0,146,127,86.17123287671232,0,0.0,0,0.0,146,8308,6696.726027397261,0,0.0,0,0.0,146,65,25.965753424657535,0,0.0,0,0.0,146,297,109.9041095890411,0,0.0,0,0.0,146,83,37.582191780821915,0,0.0,0,0.0,146,227,182.4041095890411,0,0.0,0,0.0,146,56,40.602739726027394,0,0.0,0,0.0,146,754,376.52054794520546,4455747,536735.7739726028,662,661.972602739726,146,240,24.054794520547944,0,0.0,0,0.0,1,18,22
application_1524838829941_0897,221312,20838,2891,82943,1543,1371,93457,665,2352,845,3327,792,5838,1672,1,1609,1609.0,0,0.0,0,0.0,146,9062,5838.6506849315065,0,0.0,0,0.0,146,161,95.51369863013699,312646,218018.8219178082,2243,2236.3561643835615,146,103,4.513698630136986,0,0.0,0,0.0,146,106,89.66438356164383,305110,214413.06164383562,2242,2236.5890410958905,146,94,4.438356164383562,0,0.0,0,0.0,146,122,86.71232876712328,0,0.0,0,0.0,146,8369,6744.390410958904,0,0.0,0,0.0,146,60,27.184931506849313,0,0.0,0,0.0,146,728,125.86301369863014,0,0.0,0,0.0,146,77,38.60958904109589,0,0.0,0,0.0,146,812,190.486301369863,0,0.0,0,0.0,146,89,42.486301369863014,0,0.0,0,0.0,146,754,378.02054794520546,4467621,529752.5479452055,662,661.972602739726,146,208,24.164383561643834,0,0.0,0,0.0,1,18,22
