run,applicationCompletionTime,nTask_S0,maxTask_S0,avgTask_S0,SHmax_S0,SHavg_S0,Bmax_S0,Bavg_S0,nTask_S1,maxTask_S1,avgTask_S1,SHmax_S1,SHavg_S1,Bmax_S1,Bavg_S1,nTask_S10,maxTask_S10,avgTask_S10,SHmax_S10,SHavg_S10,Bmax_S10,Bavg_S10,nTask_S11,maxTask_S11,avgTask_S11,SHmax_S11,SHavg_S11,Bmax_S11,Bavg_S11,nTask_S12,maxTask_S12,avgTask_S12,SHmax_S12,SHavg_S12,Bmax_S12,Bavg_S12,nTask_S13,maxTask_S13,avgTask_S13,SHmax_S13,SHavg_S13,Bmax_S13,Bavg_S13,nTask_S14,maxTask_S14,avgTask_S14,SHmax_S14,SHavg_S14,Bmax_S14,Bavg_S14,nTask_S2,maxTask_S2,avgTask_S2,SHmax_S2,SHavg_S2,Bmax_S2,Bavg_S2,nTask_S3,maxTask_S3,avgTask_S3,SHmax_S3,SHavg_S3,Bmax_S3,Bavg_S3,nTask_S4,maxTask_S4,avgTask_S4,SHmax_S4,SHavg_S4,Bmax_S4,Bavg_S4,nTask_S5,maxTask_S5,avgTask_S5,SHmax_S5,SHavg_S5,Bmax_S5,Bavg_S5,nTask_S6,maxTask_S6,avgTask_S6,SHmax_S6,SHavg_S6,Bmax_S6,Bavg_S6,nTask_S7,maxTask_S7,avgTask_S7,SHmax_S7,SHavg_S7,Bmax_S7,Bavg_S7,nTask_S8,maxTask_S8,avgTask_S8,SHmax_S8,SHavg_S8,Bmax_S8,Bavg_S8,nTask_S9,maxTask_S9,avgTask_S9,SHmax_S9,SHavg_S9,Bmax_S9,Bavg_S9,users,dataSize,nContainers
application_1524838829941_0730,763544,1,1564,1564.0,0,0.0,0,0.0,219,10667,5717.821917808219,0,0.0,0,0.0,219,13380,316.5662100456621,299282,196552.22831050228,2242,2236.461187214612,219,104,2.6347031963470315,0,0.0,0,0.0,219,6960,319.7671232876712,320278,197696.4931506849,2242,2236.5981735159817,219,100,2.2648401826484017,0,0.0,0,0.0,219,6326,144.1552511415525,0,0.0,0,0.0,219,12858,6808.474885844748,0,0.0,0,0.0,219,13068,257.634703196347,0,0.0,0,0.0,219,19169,621.7214611872147,0,0.0,0,0.0,219,12790,698.0913242009133,0,0.0,0,0.0,219,12855,1060.7853881278536,0,0.0,0,0.0,219,12622,644.7762557077625,0,0.0,0,0.0,219,13058,536.6301369863013,3383109,346046.47945205483,708,707.4657534246576,219,182,12.963470319634705,0,0.0,0,0.0,1,15,12
application_1524838829941_0598,759468,1,1547,1547.0,0,0.0,0,0.0,219,9497,5745.438356164384,0,0.0,0,0.0,219,12650,309.8493150684931,2900341,209338.196347032,2242,2236.4657534246576,219,103,2.5753424657534247,0,0.0,0,0.0,219,6852,318.1598173515982,241476,200852.44292237447,2242,2236.5981735159817,219,102,2.3789954337899544,0,0.0,0,0.0,219,6634,143.10958904109592,0,0.0,0,0.0,219,13310,6828.671232876713,0,0.0,0,0.0,219,7205,229.50228310502285,0,0.0,0,0.0,219,19301,875.2054794520548,0,0.0,0,0.0,219,12882,663.4657534246576,0,0.0,0,0.0,219,13361,929.4840182648402,0,0.0,0,0.0,219,12549,570.6712328767122,0,0.0,0,0.0,219,13042,584.5525114155251,3391440,356212.4611872146,708,707.4657534246576,219,186,12.931506849315069,0,0.0,0,0.0,1,15,12
application_1524838829941_0732,761599,1,1739,1739.0,0,0.0,0,0.0,219,8915,5785.369863013699,0,0.0,0,0.0,219,12560,247.3835616438356,295222,192154.16438356164,2242,2236.4657534246576,219,115,2.698630136986301,0,0.0,0,0.0,219,12869,373.32876712328766,293264,198643.3150684932,2242,2236.570776255708,219,100,2.219178082191781,0,0.0,0,0.0,219,6667,202.21917808219175,0,0.0,0,0.0,219,13200,6779.812785388128,0,0.0,0,0.0,219,13610,258.93607305936075,0,0.0,0,0.0,219,19392,613.8904109589041,0,0.0,0,0.0,219,12979,698.6164383561644,0,0.0,0,0.0,219,13027,1041.9908675799086,0,0.0,0,0.0,219,12961,645.566210045662,0,0.0,0,0.0,219,13680,572.3972602739726,3345814,352434.7397260274,708,707.4657534246576,219,208,13.374429223744292,0,0.0,0,0.0,1,15,12
application_1524838829941_0728,756221,1,1712,1712.0,0,0.0,0,0.0,219,8492,5805.1598173515995,0,0.0,0,0.0,219,12672,250.02283105022832,277920,194696.26484018264,2242,2236.4657534246576,219,119,2.6666666666666665,0,0.0,0,0.0,219,12733,279.7671232876712,308325,197515.4885844749,2242,2236.570776255708,219,84,2.228310502283105,0,0.0,0,0.0,219,6495,229.16438356164383,0,0.0,0,0.0,219,13035,6726.273972602739,0,0.0,0,0.0,219,13117,411.63926940639266,0,0.0,0,0.0,219,19588,634.1324200913242,0,0.0,0,0.0,219,12692,663.3424657534248,0,0.0,0,0.0,219,13240,1063.8858447488583,0,0.0,0,0.0,219,12984,583.0456621004566,0,0.0,0,0.0,219,13538,613.8858447488583,3404031,347772.1095890411,708,707.4657534246576,219,187,13.278538812785387,0,0.0,0,0.0,1,15,12
application_1524838829941_0594,754313,1,1579,1579.0,0,0.0,0,0.0,219,8318,5720.045662100457,0,0.0,0,0.0,219,12763,331.09589041095893,276038,196912.25570776255,2242,2236.4657534246576,219,108,2.602739726027397,0,0.0,0,0.0,219,12653,326.5251141552511,286449,201971.55251141556,2242,2236.5981735159817,219,98,2.182648401826484,0,0.0,0,0.0,219,6365,227.5890410958904,0,0.0,0,0.0,219,12977,6763.753424657534,0,0.0,0,0.0,219,12932,321.57077625570776,0,0.0,0,0.0,219,19608,555.6118721461187,0,0.0,0,0.0,219,12799,726.8767123287671,0,0.0,0,0.0,219,13035,1039.8082191780825,0,0.0,0,0.0,219,12626,630.5707762557078,0,0.0,0,0.0,219,13063,595.7442922374429,3370357,345862.5114155251,708,707.4657534246576,219,194,13.283105022831052,0,0.0,0,0.0,1,15,12
application_1524838829941_0596,767634,1,1692,1692.0,0,0.0,0,0.0,219,8326,5726.863013698629,0,0.0,0,0.0,219,12839,311.675799086758,259425,198089.94520547945,2242,2236.461187214612,219,98,2.5570776255707757,0,0.0,0,0.0,219,12620,317.87214611872145,313179,199302.66666666663,2242,2236.570776255708,219,96,2.429223744292237,0,0.0,0,0.0,219,6554,171.53881278538813,0,0.0,0,0.0,219,13626,6852.54794520548,0,0.0,0,0.0,219,13031,379.1917808219178,0,0.0,0,0.0,219,19375,581.0593607305938,0,0.0,0,0.0,219,12844,568.5525114155251,0,0.0,0,0.0,219,12946,1039.3013698630136,0,0.0,0,0.0,219,12596,631.4703196347032,0,0.0,0,0.0,219,13307,598.6529680365297,3352768,353439.6529680365,708,707.4657534246576,219,195,12.780821917808215,0,0.0,0,0.0,1,15,12
application_1524838829941_0604,463483,1,1721,1721.0,0,0.0,0,0.0,219,8727,5784.109589041096,0,0.0,0,0.0,219,158,89.02283105022829,320296,206054.9680365297,2242,2236.4657534246576,219,134,3.0821917808219177,0,0.0,0,0.0,219,116,86.8812785388128,274605,206298.46118721465,2242,2236.5981735159817,219,100,2.3652968036529685,0,0.0,0,0.0,219,168,85.58904109589041,0,0.0,0,0.0,219,8356,6759.0045662100465,0,0.0,0,0.0,219,63,25.33333333333333,0,0.0,0,0.0,219,233,100.61187214611871,0,0.0,0,0.0,219,66,36.54794520547946,0,0.0,0,0.0,219,215,178.13698630136986,0,0.0,0,0.0,219,68,39.671232876712324,0,0.0,0,0.0,219,701,374.83561643835617,3366605,369363.83105022827,708,707.4657534246576,219,210,17.30593607305936,0,0.0,0,0.0,1,15,14
application_1524838829941_0600,462160,1,1616,1616.0,0,0.0,0,0.0,219,9014,5844.127853881279,0,0.0,0,0.0,219,144,88.76255707762556,337411,205532.75799086763,2242,2236.4657534246576,219,149,3.1232876712328768,0,0.0,0,0.0,219,129,87.75799086757989,349481,206934.97716894976,2242,2236.5981735159817,219,113,2.5799086757990866,0,0.0,0,0.0,219,692,88.5799086757991,0,0.0,0,0.0,219,8542,6719.447488584475,0,0.0,0,0.0,219,79,24.84474885844749,0,0.0,0,0.0,219,306,108.02739726027396,0,0.0,0,0.0,219,68,35.794520547945204,0,0.0,0,0.0,219,214,178.5068493150685,0,0.0,0,0.0,219,83,39.926940639269404,0,0.0,0,0.0,219,796,374.9817351598173,3368068,374580.72602739726,708,707.4657534246576,219,236,17.30593607305936,0,0.0,0,0.0,1,15,14
application_1524838829941_0736,462596,1,1736,1736.0,0,0.0,0,0.0,219,8453,5747.479452054795,0,0.0,0,0.0,219,153,90.44292237442923,332007,209354.03196347036,2242,2236.4657534246576,219,123,3.0045662100456623,0,0.0,0,0.0,219,107,88.2557077625571,290452,203792.5570776256,2242,2236.5981735159817,219,104,2.34703196347032,0,0.0,0,0.0,219,777,90.0958904109589,0,0.0,0,0.0,219,8231,6771.4155251141565,0,0.0,0,0.0,219,67,24.65753424657534,0,0.0,0,0.0,219,965,106.71232876712328,0,0.0,0,0.0,219,64,36.49315068493151,0,0.0,0,0.0,219,231,178.70319634703196,0,0.0,0,0.0,219,59,39.630136986301366,0,0.0,0,0.0,219,755,375.41095890410963,3400756,368535.0684931507,708,707.4657534246576,219,211,17.23744292237443,0,0.0,0,0.0,1,15,14
application_1524838829941_0734,466381,1,1608,1608.0,0,0.0,0,0.0,219,8759,5771.744292237443,0,0.0,0,0.0,219,155,89.77168949771688,460318,206804.79452054796,2242,2236.4657534246576,219,104,2.958904109589041,0,0.0,0,0.0,219,110,88.12785388127855,295371,207517.88584474887,2242,2236.5981735159817,219,109,2.3652968036529685,0,0.0,0,0.0,219,124,86.31050228310501,0,0.0,0,0.0,219,8318,6787.068493150685,0,0.0,0,0.0,219,72,25.54794520547945,0,0.0,0,0.0,219,256,101.80365296803652,0,0.0,0,0.0,219,49,35.858447488584474,0,0.0,0,0.0,219,217,179.36073059360734,0,0.0,0,0.0,219,55,38.785388127853885,0,0.0,0,0.0,219,696,376.2009132420091,3484480,386960.08219178097,708,707.4657534246576,219,222,17.78538812785388,0,0.0,0,0.0,1,15,14
