starting timestamp(0),starting time(1),tensorflow version(2),system_UUID(3),mac_address(4),vm_instance(5),GPU type(6),GFlops(7),disk speed(8),GPU number(9),Network Type(10),Network depth(11),classes(12),batch size(13),Iterations Fraction(14),Real Iterations Number(15),Computed Iterations Number(16),Skipped Iterations Number(17),epochs(18),CPU threads(19),profile(20),CPUs usage(21),Average CPU usage(22),GPUs usage(23),Average GPU Usage(24),usage ratio(25),data_only(26),data time(27),training time(28),test time(29),overall execution time(30),missing time(31),repetition number(32),path(33)
1540747901,2018-10-28 17:31:41,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,200,NaN,4,1,508,513,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1384.366728,NaN,1403.50471234322,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_200_ep_2_bs_4/2018-10-28_17-31-40/0
1540747901,2018-10-28 17:31:41,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,200,NaN,4,0.25,127,128.25,0,0.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,251.318557,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_200_ep_2_bs_4/2018-10-28_17-31-40/0
1540747901,2018-10-28 17:31:41,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,200,NaN,4,0.5,254,256.5,0,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,686.568914,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_200_ep_2_bs_4/2018-10-28_17-31-40/0
1540747901,2018-10-28 17:31:41,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,200,NaN,4,0.75,381,384.75,0,1.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,947.150033,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_200_ep_2_bs_4/2018-10-28_17-31-40/0
1540749325,2018-10-28 17:55:25,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,400,NaN,4,1,508,513,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1389.134707,NaN,1408.73230457306,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_400_ep_2_bs_4/2018-10-28_17-55-24/0
1540749325,2018-10-28 17:55:25,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,400,NaN,4,0.75,381,384.75,0,1.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,951.513185,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_400_ep_2_bs_4/2018-10-28_17-55-24/0
1540749325,2018-10-28 17:55:25,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,400,NaN,4,0.5,254,256.5,0,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,689.784259,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_400_ep_2_bs_4/2018-10-28_17-55-24/0
1540749325,2018-10-28 17:55:25,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,400,NaN,4,0.25,127,128.25,0,0.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,252.05247,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_400_ep_2_bs_4/2018-10-28_17-55-24/0
1540750752,2018-10-28 18:19:12,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,600,NaN,4,0.25,127,128.25,0,0.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,244.947334,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_600_ep_2_bs_4/2018-10-28_18-19-10/0
1540750752,2018-10-28 18:19:12,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,600,NaN,4,0.5,254,256.5,0,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,695.53411,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_600_ep_2_bs_4/2018-10-28_18-19-10/0
