annealing,particles,nThreads,exec_time_ms
1,2000,3,1477.0
6,1000,8,2288.0
1,2000,3,1476.0
2,4000,4,3267.0
6,1000,8,2130.0
1,2000,3,1399.0
4,2000,8,2513.0
2,2000,5,1607.0
3,2000,8,1968.0
3,4000,1,16406.0
4,1000,8,1701.0
4,2000,6,2748.0
2,2000,1,6412.0
1,1000,2,1216.0
2,2000,3,2334.0
2,2000,7,1448.0
3,1000,4,1555.0
7,2000,4,5246.0
1,2000,2,1920.0
6,1000,7,1925.0
7,3000,6,5527.0
1,4000,7,1515.0
7,2000,7,3842.0
3,2000,4,2455.0
2,1000,6,912.0
2,2000,6,1360.0
6,2000,3,5536.0
5,2000,2,6453.0
5,1000,4,2153.0
1,3000,6,1160.0
4,1000,7,1572.0
7,3000,8,5637.0
2,4000,5,2557.0
4,1000,1,5932.0
3,3000,5,2883.0
6,2000,1,15983.0
7,3000,1,26823.0
7,3000,5,6030.0
3,4000,2,8022.0
4,3000,6,3228.0
6,4000,5,6858.0
4,1000,2,3077.0
1,2000,7,881.0
2,3000,2,4418.0
5,4000,3,8797.0
7,4000,2,17735.0
8,3000,4,8129.0
3,3000,7,2283.0
4,3000,8,3126.0
5,4000,1,26328.0
