iterations,size,exec_time_ms,nThreads
60,12500,3240.0,1
50,12500,2904.0,1
30,1000,134.0,1
20,12500,1160.0,1
80,12500,4372.0,1
70,1000,323.0,1
60,1000,275.0,1
30,7500,1019.0,1
50,7500,1649.0,1
80,7500,2763.0,1
60,12500,3399.0,1
20,12500,1123.0,1
30,7500,983.0,1
70,12500,4076.0,1
100,7500,3263.0,1
80,12500,4632.0,1
40,7500,1355.0,1
80,1000,365.0,1
40,7500,1386.0,1
70,7500,2396.0,1
30,12500,1748.0,1
50,12500,2714.0,1
100,7500,3248.0,1
50,7500,1619.0,1
20,12500,1167.0,1
60,12500,3480.0,1
60,7500,2085.0,1
40,12500,2368.0,1
30,4000,536.0,1
70,1000,302.0,1
70,7500,2482.0,1
50,7500,1716.0,1
80,12500,4631.0,1
60,12500,3408.0,1
40,4000,753.0,1
60,1000,276.0,1
50,4000,928.0,1
20,7500,691.0,1
80,12500,4696.0,1
100,7500,3516.0,1
80,12500,4406.0,1
20,12500,1093.0,1
60,12500,3479.0,1
100,12500,5800.0,1
30,7500,965.0,1
70,7500,2253.0,1
100,7500,3266.0,1
