nThreads,trial_multiplier,exec_time_ms
7,2,9853.0
7,5,18588.0
6,1,4033.0
1,1,23657.0
8,1,3200.0
5,4,19273.0
5,2,9568.0
2,1,11212.0
1,1,22856.0
5,3,14039.0
5,1,6814.0
5,1,6868.0
8,4,15644.0
7,1,3772.0
3,2,16642.0
7,4,14957.0
2,5,56327.0
3,1,7805.0
5,5,23063.0
4,2,11014.0
3,3,23338.0
2,3,33699.0
8,6,23977.0
5,6,30612.0
2,6,67028.0
7,3,10263.0
6,3,11945.0
6,6,22676.0
8,2,6166.0
7,6,22041.0
7,2,7270.0
1,3,66957.0
7,5,18217.0
4,1,7434.0
4,4,22401.0
6,1,4271.0
3,4,30430.0
1,5,113198.0
5,3,13354.0
3,6,45460.0
1,1,21970.0
8,1,3832.0
2,5,53704.0
2,2,23288.0
4,6,35828.0
5,5,22290.0
5,1,4781.0
3,2,15891.0
7,4,13657.0
3,3,23082.0
1,2,45127.0
5,6,28092.0
8,6,17926.0
1,6,128399.0
2,6,63827.0
7,3,10997.0
6,3,12839.0
8,5,20458.0
4,5,32781.0
6,6,24567.0
3,5,41058.0
8,2,7375.0
7,6,21884.0
7,2,9516.0
2,4,46427.0
6,4,18011.0
4,3,17918.0
4,4,23808.0
3,4,29752.0
5,1,4451.0
3,6,48503.0
6,6,24310.0
8,3,8862.0
4,2,11555.0
1,1,21742.0
4,1,5664.0
5,3,13642.0
1,3,62313.0
1,5,106484.0
1,4,88687.0
4,6,34530.0
6,3,12659.0
7,2,8694.0
4,5,28766.0
2,1,10957.0
6,4,17218.0
5,4,23273.0
5,2,9799.0
3,5,37590.0
2,2,23152.0
7,1,3654.0
3,2,15274.0
3,6,46611.0
6,1,3952.0
7,4,14460.0
3,4,30696.0
1,2,44473.0
3,1,7484.0
7,5,18299.0
2,4,43823.0
2,3,34526.0
4,3,17397.0
4,2,11275.0
2,6,67122.0
8,2,5974.0
8,4,11939.0
6,3,12045.0
1,4,83174.0
5,1,4735.0
1,3,67726.0
1,6,126356.0
1,1,22607.0
5,3,14325.0
4,1,5942.0
4,5,27493.0
4,6,34536.0
6,5,20596.0
5,2,10650.0
2,1,10972.0
3,5,38808.0
7,3,10931.0
7,1,3703.0
2,5,56620.0
2,2,22835.0
3,2,15083.0
6,1,4091.0
3,6,46804.0
8,6,22177.0
7,4,15414.0
3,4,31603.0
6,2,10315.0
3,1,7514.0
2,4,44929.0
6,6,23374.0
2,3,32506.0
2,6,66148.0
4,6,32965.0
3,3,22707.0
1,4,87205.0
7,1,3659.0
7,5,25159.0
7,6,28407.0
6,1,3977.0
1,6,132541.0
8,2,6519.0
8,3,8968.0
4,2,11186.0
3,2,16192.0
4,4,24236.0
7,2,9552.0
6,5,19198.0
1,2,44816.0
8,4,15601.0
6,2,7987.0
6,6,27739.0
5,3,13330.0
3,1,7429.0
8,6,22248.0
3,5,40702.0
7,3,11058.0
4,5,27417.0
1,3,65564.0
1,1,21630.0
5,5,22705.0
3,6,45481.0
8,5,21032.0
5,4,22529.0
2,1,10870.0
2,2,21724.0
3,3,23848.0
7,6,21871.0
1,5,110379.0
7,1,3648.0
6,3,16908.0
8,3,11282.0
4,4,22792.0
6,4,18512.0
4,2,11651.0
8,2,5957.0
3,2,14764.0
3,4,30202.0
7,2,7393.0
1,2,44229.0
8,4,12218.0
1,6,134403.0
6,2,8075.0
6,6,24042.0
3,5,37962.0
5,1,4639.0
2,4,43746.0
5,3,14300.0
1,3,67457.0
4,5,28388.0
3,1,7777.0
7,4,14516.0
2,6,67746.0
5,5,24030.0
3,6,46143.0
8,5,20707.0
5,4,25219.0
1,1,21731.0
3,2,16239.0
2,5,54882.0
6,6,27795.0
8,6,22607.0
4,4,24954.0
4,6,38634.0
4,1,5610.0
2,3,32540.0
8,1,2993.0
4,2,10924.0
6,4,15193.0
3,6,45666.0
2,1,10884.0
5,1,4465.0
1,3,64953.0
7,1,3664.0
1,5,110190.0
7,3,10932.0
2,4,43410.0
5,2,8978.0
2,6,65417.0
1,1,22079.0
6,1,4044.0
8,4,11840.0
1,4,88933.0
7,4,14380.0
7,6,22330.0
1,2,44532.0
5,5,24044.0
3,5,40706.0
8,2,8122.0
3,3,22626.0
8,5,20903.0
2,5,54758.0
5,4,23459.0
3,4,30380.0
4,4,23647.0
7,5,22255.0
2,3,32849.0
