SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLength,networkingTime,singleLayerInfTime,OpType,NrParameters,NrNodes,Memory,MACs,SingleLayerSum-Splitted,singleLayerInfTimeProf
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.028426,0.950297327013686,1.923,5,0.054794682999955,0.012190426001325,3276800,0.235998623,0.019976,Conv,320,2,39322880,32440320,-0.174443327013686,0
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.060323,0.956362664001062,1.9,5,0.052319945000022,0.013462183997035,3276800,0.243720005,0.044411,Conv,528,2,32770112,54558720,-0.212405664001062,0.016135
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.072237,0.95446373289451,1.863,5,0.028129584999988,0.005976552842185,1638400,0.180179227999929,0.017843,Conv,1536,1,45881344,162201600,-0.22242073289451,0
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,0.097939,0.820621859049425,1.944,5,0.135667509999962,0.036672009853646,9830400,0.650509846999967,0.019765,Conv,384,1,78644736,0,-0.114280859049424,0.036416
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.100253,0.519300899002701,1.648,4,0.154511992000039,0.035510839894414,9830400,0.604622011999936,0.023285,BatchNormalization,0,2,118953984,3932160,0.184726100997299,0.010998
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,0.123265,0.7144571589306,1.984,5,0.149829779000015,0.037357372930274,10077696,0.597045470000012,0.047245,Pad,960,1,50145024,23347200,-0.0334421589306,0
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.178621,0.74619871401228,1.644,5,0.049519366000027,0.009795529069379,2457600,0.222488204999991,0.058041,Conv,2328,2,22127712,60272640,-0.12053971401228,0
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.180866,0.739451491041109,1.545,5,0.012530204000086,0.002356672193855,614400,0.149874709000073,0.017429,Conv,8952,7,81136608,217374720,-0.116037491041109,0.021968
sequential-mobilenetv2_1.00_160-block_2_add-add_0,0.241294,0.651824022876099,1.452,4,0.008852081999976,0.00216779508628,614400,0.147775943000056,0.065007,Add,3600,1,17217600,90316800,-0.088838022876099,0.022889
sequential-mobilenetv2_1.00_160-block_3_expand_BN-FusedBatchNormV3_0,0.254779,0.551913789007813,1.545,5,0.05102144600005,0.013848873088136,3686400,0.252812205000055,0.011827,Conv,0,2,44983296,1474560,-0.002412789007813,0
sequential-mobilenetv2_1.00_160-block_3_pad-Pad_0,0.260004,0.543215350015089,1.395,4,0.060232455000005,0.014222393045202,3873024,0.267561858000022,0.019907,Pad,1440,1,19184256,8755200,0.001060649984911,0.053534
sequential-mobilenetv2_1.00_160-block_3_depthwise_BN-FusedBatchNormV3_0,0.283162,0.542899162974209,1.313,5,0.017559697000024,0.003275432158262,921600,0.154305845000067,0.025541,Conv,4640,2,8210560,29962240,-0.021781162974209,0.008884
sequential-mobilenetv2_1.00_160-block_3_project_BN-FusedBatchNormV3_0,0.285673,0.564650820801035,1.412,5,0.004286189999902,0.000807500910014,204800,0.140113361999966,0.007582,Conv,15008,7,27093632,92119040,-0.046043820801035,0
sequential-mobilenetv2_1.00_160-block_4_add-add_0,0.313118,0.548946052091196,1.359,4,0.003287827000008,0.000799089903012,204800,0.132861290000051,0.023644,Add,14432,6,22176128,92119040,-0.057784052091196,0
sequential-mobilenetv2_1.00_160-block_5_add-add_0,0.336865,0.459018562920392,1.351,5,0.003231379999988,0.000852400902659,204800,0.134909688999983,0.023357,Add,6336,1,5759744,39936000,0.008396437079609,0.00897
sequential-mobilenetv2_1.00_160-block_6_expand_BN-FusedBatchNormV3_0,0.341736,0.355050060898066,1.263,4,0.016634881999949,0.00463004806079,1228800,0.178036238000004,0.008474,Conv,0,2,15249408,491520,0.107493939101935,0
sequential-mobilenetv2_1.00_160-block_6_pad-Pad_0,0.346833,0.446546776918694,1.305,5,0.021361941000009,0.005061917006969,1354752,0.179976131999979,0.006791,Pad,1920,1,6655488,2918400,0.010900223081306,0.037132
sequential-mobilenetv2_1.00_160-block_6_depthwise_BN-FusedBatchNormV3_0,0.34617,0.359039551112801,1.226,4,0.006700937000005,0.001162928063422,307200,0.143898809000007,0.013053,Conv,12352,2,2916608,19834880,0.099070448887199,0.013492
sequential-mobilenetv2_1.00_160-block_6_project_BN-FusedBatchNormV3_0,0.349406,0.573354704072699,1.502,5,0.002140217000033,0.000461179064587,102400,0.12620403599999,0.005888,Conv,54592,7,13735168,85381120,-0.118480704072699,0.000512
sequential-mobilenetv2_1.00_160-block_7_add-add_0,0.377361,0.451119962148368,1.362,4,0.001927225999907,0.000506446929649,102400,0.122799456000052,0.023997,Add,53440,6,11272960,85381120,-0.024200962148368,0
sequential-mobilenetv2_1.00_160-block_8_add-add_0,0.4035,0.447010393952951,1.201,4,0.001899162999962,0.00045090704225,102400,0.125813572999959,0.024696,Add,53440,6,11272960,85381120,-0.046230393952951,0.009532
sequential-mobilenetv2_1.00_160-block_9_add-add_0,0.428421,0.462654799921438,1.267,4,0.001842906999968,0.000456664944068,102400,0.134746776000043,0.024121,Add,24960,1,2967040,39628800,-0.086795799921438,0.006496
sequential-mobilenetv2_1.00_160-block_10_expand_BN-FusedBatchNormV3_0,0.433798,0.452249479945749,1.255,5,0.008393063999961,0.002160116797313,614400,0.15288353699998,0.006911,Conv,3840,2,7388160,6082560,-0.081767479945749,0
sequential-mobilenetv2_1.00_160-block_10_depthwise_BN-FusedBatchNormV3_0,0.449985,0.162270127795637,1.071,4,0.008905991000006,0.002195812994614,614400,0.150106822999987,0.01893,Conv,36960,2,5677440,59304960,0.192024872204363,0.023359
sequential-mobilenetv2_1.00_160-block_10_project_BN-FusedBatchNormV3_0,0.457719,0.394436341011897,1.213,5,0.003309495000053,0.000632980139926,153600,0.131885601999898,0.009629,Conv,118752,7,20750208,187054080,-0.047875341011897,0.003758
sequential-mobilenetv2_1.00_160-block_11_add-add_0,0.494187,0.347447196021676,1.173,4,0.00256415299998,0.000633134972304,153600,0.127467065000019,0.040266,Add,117024,6,17056896,187054080,-0.037354196021676,0
sequential-mobilenetv2_1.00_160-block_12_add-add_0,0.54022,0.260131034068763,1.188,4,0.002567930000055,0.000623248051852,153600,0.137107785000012,0.040552,Add,55872,1,4524288,88934400,0.003928965931237,0
sequential-mobilenetv2_1.00_160-block_13_expand_BN-FusedBatchNormV3_0,0.540368,0.166433421894908,1.088,5,0.012992704999988,0.003327185986564,921600,0.162626164000017,0.01268,Conv,0,2,11833344,368640,0.097478578105092,0.003485
sequential-mobilenetv2_1.00_160-block_13_pad-Pad_0,0.546093,0.253820802085102,1.026,4,0.01612620200001,0.004286175826564,1115136,0.186953380999967,0.005659,Pad,5760,1,5405184,2188800,0.004366197914898,0
sequential-mobilenetv2_1.00_160-block_13_depthwise_BN-FusedBatchNormV3_0,0.564287,0.143544381018728,0.961,5,0.005712049999943,0.000889702932909,230400,0.130961200999991,0.009815,Conv,92320,2,2468480,36988160,0.096448618981272,0.013917
sequential-mobilenetv2_1.00_160-block_13_project_BN-FusedBatchNormV3_0,0.568257,0.177544821985066,1.123,4,0.001745510000092,0.000362480990589,64000,0.13521595300017,0.005411,Conv,320800,7,9731200,127091200,0.058478178014934,0.004709
sequential-mobilenetv2_1.00_160-block_14_add-add_0,0.596685,0.160575469955802,0.988,4,0.001583236999977,0.000312028918415,64000,0.12171745899991,0.025307,Add,317920,6,8183680,127091200,0.047019530044198,0.000194
sequential-mobilenetv2_1.00_160-block_15_add-add_0,0.622141,0.159310201881453,0.941,4,0.001368164000041,0.000302447006106,64000,0.121300447000067,0.033774,Add,154560,1,2410240,61632000,0.022828798118547,0
sequential-mobilenetv2_1.00_160-block_16_expand_BN-FusedBatchNormV3_0,0.631287,0.172486889874563,1.11,4,0.005141197999819,0.001377939013764,384000,0.129837157000111,0.0107,Conv,9600,2,4646400,3801600,0.000506110125437,0.003398
sequential-mobilenetv2_1.00_160-block_16_depthwise_BN-FusedBatchNormV3_0,0.646267,0.131933129159734,0.924,4,0.005689678999943,0.001449699047953,384000,0.14007902100002,0.014354,Conv,307520,2,4814080,123097600,0.026079870840267,0
