GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
7365,216,1,1024,382,4,873.326117515564
7365,216,2,1024,382,4,985.926215171814
7365,216,4,1024,382,4,1237.36653590202
7365,216,1,1024,382,4,1135.59086298943
7365,216,2,1024,382,4,1129.91990947723
7365,216,4,1024,382,4,1272.55078673363
7365,216,1,1024,382,2,1584.9054620266
7365,216,2,1024,382,2,1770.71958613396
7365,216,4,1024,382,2,2155.82896947861
7365,216,2,1024,382,4,1073.40381193161
7365,216,1,1024,382,4,1023.41858935356
7365,216,4,1024,382,4,1239.01641535759
7365,216,2,1024,382,8,672.816414117813
7365,216,4,1024,382,8,797.040676355362
7365,216,1,1024,382,6,1164.44762945175
7365,216,2,1024,382,12,667.509287595749
7365,216,4,1024,382,16,673.146464824677
7365,216,2,1024,382,16,754.899935007095
7365,216,1,1024,382,8,1511.40173864365
7365,216,4,1024,382,24,757.292915821075
7365,216,4,1024,382,32,882.748165607452
7365,216,1,256,1519,2,1480.54933643341
7365,216,2,256,1519,2,1500.4648578167
7365,216,4,256,1519,2,1734.17318630219
7365,216,1,256,1519,4,794.055371761322
7365,216,2,256,1519,4,780.555679082871
7365,216,2,256,1519,8,429.091201782227
7365,216,1,256,1519,8,609.641492605209
7365,216,4,256,1519,4,916.538017272949
7365,216,2,256,1519,16,330.061389684677
7365,216,1,256,1519,16,609.767290115356
7365,216,4,256,1519,8,507.884647130966
7365,216,4,256,1519,16,319.349510669708
7365,216,1,1024,382,2,1524.38423585892
7365,216,2,1024,382,2,1547.45916843414
7365,216,4,1024,382,2,1705.38476395607
7365,216,1,1024,382,2,1507.49109840393
7365,216,2,1024,382,2,1553.37325835228
7365,216,4,1024,382,2,1689.69591355324
7365,216,1,1024,382,4,856.895311355591
7365,216,2,1024,382,4,846.826318264008
7365,216,1,1024,382,4,822.090223550797
7365,216,4,1024,382,4,923.614739179611
7365,216,2,1024,382,4,872.461953639984
7365,216,4,1024,382,4,920.693170547485
7365,216,1,1024,382,6,630.513636350632
7365,216,2,1024,382,8,504.744428157806
7365,216,1,1024,382,6,634.881761312485
7365,216,2,1024,382,8,539.135185241699
7365,216,4,1024,382,8,539.853221178055
1195,445,2,256,1519,2,2490.11712145805
7365,216,2,1024,382,12,397.047569990158
7365,216,4,1024,382,8,593.862371206284
7365,216,1,1024,382,8,636.986907720566
7365,216,2,1024,382,12,393.891468286514
7365,216,1,1024,382,8,635.848159074783
7365,216,4,1024,382,16,371.441254377365
7365,216,2,1024,382,16,399.324356079102
7365,216,4,1024,382,16,364.699898958206
7365,216,2,1024,382,16,403.125091552734
7365,216,4,1024,382,24,338.705639839172
1195,445,2,256,1519,2,2514.89770245552
7365,216,4,1024,382,24,333.478042125702
7365,216,1,1024,382,2,1506.09681510925
7365,216,4,1024,382,32,350.612978696823
7365,216,4,1024,382,32,398.840188026428
7365,216,2,1024,382,2,1548.49073505402
7365,216,1,1024,382,2,1522.95143461227
7365,216,2,1024,382,2,1557.30725121498
7365,216,4,1024,382,2,1719.39903378487
1195,445,2,256,1519,4,1369.2373020649
7365,216,1,1024,382,4,829.431344747543
7365,216,4,1024,382,2,1707.39527821541
1195,445,2,256,1519,4,1373.97991132736
7365,216,2,1024,382,4,855.563668489456
7365,216,1,1024,382,4,824.649227142334
7365,216,2,1024,382,4,874.756151199341
7365,216,1,1024,382,6,632.008458852768
7365,216,2,1024,382,8,496.456614732742
7365,216,1,1024,382,6,638.632145404816
7365,216,4,1024,382,4,964.433173179626
7365,216,2,1024,382,8,502.536740064621
7365,216,4,1024,382,4,928.016685724258
7365,216,1,1024,382,8,634.57313656807
7365,216,2,1024,382,12,400.171994686127
7365,216,2,1024,382,12,394.907660245895
7365,216,1,1024,382,8,636.39036154747
7365,216,2,1024,382,16,405.785635948181
7365,216,4,1024,382,8,545.86629986763
7365,216,2,1024,382,16,397.859315395355
7365,216,4,1024,382,8,544.704471588135
7365,216,4,1024,382,16,368.606988191605
7365,216,4,1024,382,16,397.906335353851
1195,445,2,256,1519,2,2633.92977666855
7365,216,4,1024,382,24,331.481839418411
7365,216,4,1024,382,24,330.055539131164
7365,216,4,1024,382,32,364.40581202507
7365,216,4,1024,382,32,360.836179256439
1195,445,2,256,1519,2,2640.6229197979
1195,445,2,256,1519,4,1407.97424340248
1195,445,2,256,1519,4,1403.36496782303
1195,445,2,128,3034,2,2491.05971717834
1195,445,2,128,3034,2,2508.78043365478
1195,445,2,128,3034,4,1363.66448545456
1195,445,2,128,3034,4,1367.12188315392
1195,445,2,128,3034,8,902.178849458694
1195,445,2,128,3034,8,907.365671873093
1195,445,2,128,3034,16,899.878269195557
1195,445,2,128,3034,16,904.769278764725
1195,445,2,128,3034,2,2638.02653026581
1195,445,2,128,3034,2,2651.59825277328
1195,445,2,128,3034,4,1398.04626274109
1195,445,2,128,3034,4,1401.182533741
7365,216,1,1024,382,2,1491.16407608986
7365,216,2,1024,382,2,1507.11579394341
7365,216,4,1024,382,2,1630.58731436729
7365,216,1,1024,382,2,1504.97086024284
7365,216,2,1024,382,2,1523.69161295891
1195,445,2,128,3034,8,905.453644275665
7365,216,4,1024,382,2,1639.82246184349
1195,445,2,128,3034,8,906.615347146988
7365,216,1,1024,382,4,826.991859436035
7365,216,2,1024,382,4,835.639013528824
7365,216,4,1024,382,4,889.397870779037
7365,216,1,1024,382,4,875.414855718613
7365,216,2,1024,382,4,874.600508213043
1195,445,2,128,3034,16,910.979447126388
7365,216,4,1024,382,4,897.511580705643
1195,445,2,128,3034,16,910.300034761429
7365,216,2,1024,382,8,528.89164018631
7365,216,1,1024,382,6,626.202828168869
7365,216,2,1024,382,8,482.443968057633
7365,216,1,1024,382,6,623.039172649383
7365,216,4,1024,382,8,527.904848814011
7365,216,4,1024,382,8,598.088241577148
7365,216,2,1024,382,12,377.722693443298
7365,216,2,1024,382,12,378.383249998093
7365,216,1,1024,382,8,633.228137969971
7365,216,4,1024,382,16,365.539900064468
7365,216,2,1024,382,16,422.433685302734
7365,216,1,1024,382,8,630.136790275574
7365,216,4,1024,382,16,351.461821556091
7365,216,2,1024,382,16,378.614862203598
7365,216,4,1024,382,24,324.55254983902
7365,216,4,1024,382,24,325.934849262238
7365,216,4,1024,382,32,330.726320981979
7365,216,1,512,760,2,1442.41630959511
7365,216,4,1024,382,32,349.549074172974
7365,216,2,512,760,2,1449.77407264709
7365,216,1,512,760,2,1444.39694714546
7365,216,2,512,760,2,1453.25455188751
7365,216,4,512,760,2,1594.94790267944
7365,216,4,512,760,2,1570.90814900398
7365,216,1,512,760,4,771.426514148712
7365,216,2,512,760,4,778.236169576645
7365,216,1,512,760,4,766.819390296936
7365,216,2,512,760,4,771.112486839294
7365,216,1,512,760,6,571.433457136154
7365,216,2,512,760,8,453.445296764374
7365,216,4,512,760,4,834.930968284607
7365,216,2,512,760,8,436.183143138886
7365,216,1,512,760,6,572.4415371418
7365,216,4,512,760,4,831.967647314072
7365,216,2,512,760,12,329.356123685837
7365,216,2,512,760,12,329.037618875504
7365,216,1,512,760,8,578.555812835693
7365,216,2,512,760,16,357.835132598877
7365,216,1,512,760,8,578.053297996521
7365,216,4,512,760,8,476.184634923935
7365,216,2,512,760,16,337.549182891846
7365,216,4,512,760,8,473.421559095383
7365,216,4,512,760,16,309.487550497055
7365,216,4,512,760,16,309.201098442078
7365,216,1,256,1519,2,1429.31327986717
7365,216,2,256,1519,2,1442.82193613052
7365,216,4,512,760,24,284.91276216507
7365,216,4,512,760,24,285.279507637024
7365,216,4,512,760,32,299.048548936844
7365,216,4,512,760,32,299.011860609055
7365,216,1,256,1519,2,1431.2559633255
7365,216,2,256,1519,2,1444.82475352287
7365,216,4,256,1519,2,1569.46831893921
7365,216,1,256,1519,4,744.34043431282
7365,216,2,256,1519,4,749.245796680451
7365,216,1,256,1519,4,744.927899360657
7365,216,2,256,1519,4,753.067158699036
7365,216,4,256,1519,2,1549.58136868477
7365,216,1,256,1519,6,557.509425401688
7365,216,2,256,1519,8,412.186099052429
7365,216,2,256,1519,8,419.291923046112
7365,216,1,256,1519,6,560.57262635231
7365,216,2,256,1519,12,315.714424371719
7365,216,2,256,1519,12,313.846111536026
7365,216,4,256,1519,4,808.23853802681
7365,216,1,256,1519,8,559.762486219406
7365,216,2,256,1519,16,318.004760980606
7365,216,1,256,1519,8,559.759001016617
7365,216,4,256,1519,4,808.536193847656
7365,216,2,256,1519,16,317.656087636948
7365,216,4,256,1519,8,456.004771947861
7365,216,4,256,1519,8,453.668472290039
7365,216,2,128,3034,2,1446.70252513886
7365,216,1,128,3034,2,1435.08289647102
7365,216,4,256,1519,16,294.24047088623
7365,216,4,256,1519,16,293.663559913635
7365,216,2,128,3034,2,1442.50527071953
7365,216,4,256,1519,24,288.280342102051
7365,216,1,128,3034,2,1430.15292620659
7365,216,4,256,1519,24,289.430579423904
7365,216,4,128,3034,32,351.71086025238
7365,216,4,128,3034,32,352.75318980217
7365,216,2,128,3034,4,754.308303117752
7365,216,1,128,3034,4,741.435910463333
7365,216,1,128,3034,4,740.891615390778
7365,216,2,128,3034,4,754.75590634346
7365,216,4,128,3034,2,1594.47078561783
7365,216,2,128,3034,8,410.876519203186
7365,216,1,128,3034,6,559.718185663223
7365,216,2,128,3034,8,405.285151958466
7365,216,1,128,3034,6,560.82094502449
7365,216,4,128,3034,2,1590.56901359558
7365,216,2,128,3034,12,363.275083303452
7365,216,2,128,3034,12,359.976542949676
7365,216,1,128,3034,8,564.639927148819
7365,216,2,128,3034,16,371.608823537827
7365,216,1,128,3034,8,565.578093767166
7365,216,2,128,3034,16,370.644582986832
7365,216,4,128,3034,4,812.779856920242
7365,216,4,128,3034,4,816.888619422913
7365,216,4,128,3034,8,443.292312860489
7365,216,4,128,3034,8,447.227816820145
7365,216,4,128,3034,16,351.834065198898
7365,216,4,128,3034,16,343.986135721207
7365,216,4,128,3034,24,351.226128101349
7365,216,4,128,3034,24,344.740528345108
7365,216,4,128,3034,32,359.488840103149
7365,216,4,128,3034,32,361.865475416183
1195,445,2,128,3034,2,2495.04787683487
1195,445,2,128,3034,2,2513.43244171143
1195,445,2,128,3034,4,1357.99702596664
1195,445,2,128,3034,4,1364.06928825378
1195,445,2,128,3034,8,901.930776357651
1195,445,2,128,3034,8,901.854803562164
1195,445,2,128,3034,16,907.648431301117
1195,445,2,128,3034,16,901.548838853836
1195,445,2,64,6067,2,2639.4996945858
1195,445,2,64,6067,2,2666.80959701538
1195,445,2,64,6067,4,1398.04394650459
1195,445,2,64,6067,4,1404.25329661369
1195,445,2,64,6067,8,1170.65927767754
1195,445,2,64,6067,8,1170.22350430489
1195,445,2,64,6067,16,1169.99590826035
1195,445,2,64,6067,16,1172.82986426353
1195,445,2,32,12133,2,2748.65694522858
1195,445,2,32,12133,2,2756.9721801281
1195,445,2,32,12133,4,1673.65475416183
1195,445,2,32,12133,4,1676.97493863106
1195,445,2,32,12133,8,1650.78423333168
1195,445,2,32,12133,8,1652.31479859352
1195,445,2,32,12133,16,1646.23333740234
1195,445,2,32,12133,16,1648.67485308647
1195,445,2,16,24265,2,3003.26154065132
1195,445,2,16,24265,2,3007.55137610435
1195,445,2,16,24265,4,2902.96687173843
1195,445,2,16,24265,4,2901.73658752441
1195,445,2,16,24265,8,2881.19943857193
1195,445,2,16,24265,8,2885.37804460526
1195,445,2,16,24265,16,2887.96258449554
1195,445,2,16,24265,16,2888.99945282936
1195,445,2,128,3034,2,2503.1530342102
1195,445,2,128,3034,2,2507.05572652817
1195,445,2,128,3034,4,1340.51749110222
1195,445,2,128,3034,4,1335.70335125923
1195,445,2,128,3034,8,899.659525632858
1195,445,2,128,3034,8,909.06232047081
1195,445,2,128,3034,16,895.696969509125
1195,445,2,128,3034,16,894.571231126785
1195,445,2,64,6067,2,2507.3616373539
1195,445,2,64,6067,2,2505.33991408348
1195,445,2,64,6067,4,1338.8395857811
1195,445,2,64,6067,4,1339.62808084488
1195,445,2,64,6067,8,1165.59482741356
1195,445,2,64,6067,8,1165.36413526535
1195,445,2,64,6067,16,1161.20661973953
1195,445,2,64,6067,16,1160.72491550446
1195,445,2,32,12133,2,2517.1352481842
1195,445,2,32,12133,2,2518.29381728172
1195,445,2,32,12133,4,1661.40507507324
1195,445,2,32,12133,4,1661.49629735947
1195,445,2,32,12133,8,1636.32769370079
1195,445,2,32,12133,8,1636.69759011269
1195,445,2,32,12133,16,1630.84279203415
1195,445,2,32,12133,16,1630.50032758713
1195,445,2,16,24265,2,2946.57385110855
1195,445,2,16,24265,2,2948.28809976578
1195,445,2,16,24265,4,2881.78096079826
1195,445,2,16,24265,4,2882.62038326263
1195,445,2,16,24265,8,2861.0850777626
1195,445,2,16,24265,8,2859.81433010101
1195,445,2,16,24265,16,2852.67599463463
1195,445,2,16,24265,16,2851.40840601921
7365,216,1,1024,382,2,1593.80765533447
7365,216,1,1024,382,2,1705.87782716751
7365,216,1,1024,382,4,1019.52828836441
7365,216,1,1024,382,4,908.799962043762
7365,216,1,1024,382,6,644.417581796646
7365,216,1,1024,382,6,647.900347232819
7365,216,1,1024,382,8,559.087915182114
7365,216,1,1024,382,8,575.712187290192
7365,216,1,1024,382,12,551.052667856216
7365,216,1,1024,382,12,561.012676477432
7365,216,1,1024,382,16,554.388900756836
7365,216,1,1024,382,16,585.38090634346
7365,216,1,1024,382,20,591.501253128052
7365,216,1,1024,382,20,613.480369567871
7365,216,1,1024,382,24,659.84987783432
