GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
7365,216,1,1024,361,2,937.960291624069
7365,216,1,1024,361,2,952.755053043366
7365,216,1,1024,361,4,589.400645494461
7365,216,1,1024,361,4,599.624215841293
7365,216,1,1024,361,8,578.148126125336
7365,216,1,1024,361,8,576.362495660782
7365,216,1,1024,361,12,575.638678312302
7365,216,1,1024,361,12,574.997931241989
7365,216,1,1024,361,16,576.072921276093
7365,216,1,1024,361,16,586.503197908402
7365,216,1,512,740,2,912.984314441681
7365,216,1,512,740,2,907.419194459915
7365,216,1,512,740,4,600.924619913101
7365,216,1,512,740,4,592.169854402542
7365,216,1,512,740,8,577.76372218132
7365,216,1,512,740,8,592.271765470505
7365,216,1,512,740,12,599.713408470154
7365,216,1,512,740,12,577.735491991043
7365,216,1,512,740,16,577.328036546707
7365,216,1,512,740,16,578.898814916611
7365,216,1,256,1498,2,881.167891025543
7365,216,1,256,1498,2,922.854230642319
7365,216,1,256,1498,4,605.372537136078
7365,216,1,256,1498,4,592.659966230393
7365,216,1,256,1498,8,628.4603266716
7365,216,1,256,1498,8,609.884480237961
7365,216,1,256,1498,12,622.305197954178
7365,216,1,256,1498,12,625.614793300629
7365,216,1,256,1498,16,611.593448638916
7365,216,1,256,1498,16,614.60871052742
7365,216,1,128,3014,2,860.348155260086
7365,216,1,128,3014,2,867.213347911835
7365,216,1,128,3014,4,696.219478368759
7365,216,1,128,3014,4,695.702644109726
7365,216,1,128,3014,8,887.021682739258
7365,216,1,128,3014,8,716.127456188202
7365,216,1,128,3014,12,731.209384441376
7365,216,1,128,3014,12,729.107950925827
7365,216,1,128,3014,16,783.858931303024
7365,216,1,128,3014,16,737.559485912323
7365,216,1,1024,108,2,328.046460866928
7365,216,1,1024,108,2,327.083514928818
7365,216,1,1024,108,4,213.285821199417
7365,216,1,1024,108,4,215.324297428131
7365,216,1,1024,108,8,210.827567338943
7365,216,1,1024,108,8,210.102815389633
7365,216,1,1024,108,12,210.448678255081
7365,216,1,1024,108,12,210.605411052704
7365,216,1,1024,108,16,207.514161348343
7365,216,1,1024,108,16,208.817545175552
7365,216,1,512,234,2,312.985776424408
7365,216,1,512,234,2,320.913624763489
7365,216,2,2048,361,2,1152.32787632942
7365,216,1,512,234,4,212.069243907928
7365,216,1,512,234,4,213.495189189911
7365,216,1,512,234,8,204.481833219528
7365,216,2,2048,361,2,1139.49464392662
7365,216,1,512,234,8,205.011325120926
7365,216,1,512,234,12,207.918815374374
7365,216,1,512,234,12,212.593351840973
7365,216,1,512,234,16,210.237442970276
7365,216,4,4096,361,2,1171.9481215477
7365,216,1,512,234,16,203.873290061951
7365,216,1,256,487,2,302.930288076401
7365,216,2,2048,361,4,714.89843916893
7365,216,1,256,487,2,302.034576177597
7365,216,4,4096,361,2,1233.20745944977
7365,216,2,2048,361,4,711.20769405365
7365,216,1,256,487,4,214.987806558609
7365,216,1,256,487,4,208.22536277771
7365,216,1,256,487,8,222.948720693588
7365,216,1,256,487,8,228.972393274307
7365,216,2,2048,361,8,597.16383099556
7365,216,1,256,487,12,220.968642950058
7365,216,1,256,487,12,216.244386196136
7365,216,4,4096,361,4,835.651561737061
7365,216,2,2048,361,8,602.489354848862
7365,216,1,256,487,16,213.152225017548
7365,216,1,256,487,16,218.320418596268
7365,216,4,4096,361,4,782.046801805496
7365,216,1,128,992,2,301.028988599777
7365,216,1,128,992,2,308.685593128204
7365,216,2,2048,361,12,592.305283308029
7365,216,1,128,992,4,247.446305751801
7365,216,2,2048,361,12,601.01086807251
7365,216,1,128,992,4,240.085112810135
7365,216,4,4096,361,8,634.458539009094
7365,216,1,128,992,8,252.93218755722
7365,216,1,128,992,8,254.508164167404
7365,216,4,4096,361,8,638.868809223175
7365,216,2,2048,361,16,611.487869501114
7365,216,1,128,992,12,312.163212537765
7365,216,1,128,992,12,253.68175816536
7365,216,2,2048,361,16,591.754318714142
7365,216,1,128,992,16,267.477873563767
7365,216,4,4096,361,16,662.737496614456
7365,216,1,128,992,16,262.417322874069
7365,216,4,4096,361,16,641.119934797287
7365,216,2,1024,740,2,1069.04932928085
7365,216,4,4096,361,24,829.055794715881
7365,216,2,1024,740,2,1049.55209183693
7365,216,4,4096,361,24,827.867462396622
7365,216,2,1024,740,4,678.411188602448
7365,216,2,1024,740,4,677.325751543045
