GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
1195,445,2,3,8,4,33.6770856380463
1195,445,2,3,8,4,32.9198217391968
1195,445,2,3,8,4,33.2939298152924
1195,445,2,3,8,4,32.8801546096802
1195,445,2,3,8,4,33.5387816429138
1195,445,2,3,8,4,34.0102303028107
1195,445,2,3,8,4,32.8679702281952
1195,445,2,3,4,4,35.2357161045075
1195,445,2,3,20,4,38.7277810573578
1195,445,2,3,8,4,30.4461894035339
1195,445,2,3,20,4,39.3512551784515
1195,445,2,3,20,4,38.9985206127167
1195,445,2,3,8,4,29.2562980651855
1195,445,2,3,8,4,30.2303745746612
1195,445,2,3,8,4,44.6341750621796
1195,445,2,3,8,4,46.5379908084869
1195,445,2,3,8,4,60.849365234375
1195,445,2,4,508,4,1403.50471234322
1195,445,2,4,508,4,1408.73230457306
1195,445,2,4,508,4,1451.21002793312
1195,445,2,4,508,4,1504.72292351723
1195,445,2,8,254,4,1321.93523740768
1195,445,2,8,254,4,1328.03494429588
1195,445,2,8,254,4,1361.02193164825
1195,445,2,8,254,4,1380.16289949417
1195,445,2,16,128,4,1292.67059803009
1195,445,2,16,128,4,1292.51698160171
1195,445,2,16,128,4,1306.88745832443
1195,445,2,16,128,4,1269.97377610207
1195,445,2,32,64,4,1243.2588160038
1195,445,2,32,64,4,1248.38188433647
1195,445,2,32,64,4,1165.8748254776
1195,445,2,32,64,4,1271.94163656235
1195,445,2,4,1016,4,2799.36350822449
1195,445,2,4,1016,4,2808.28893899918
1195,445,2,4,1016,4,2894.03890109062
1195,445,2,4,1016,4,3041.26241374016
1195,445,2,8,508,4,2648.42402935028
1195,445,2,8,508,4,2631.01733851433
1195,445,2,8,508,4,2712.74455547333
1195,445,2,8,508,4,2748.55504274368
1195,445,2,16,256,4,2581.36334681511
1195,445,2,16,256,4,2585.32936930656
1195,445,2,16,256,4,2561.6733675003
1195,445,2,16,256,4,2662.69270801544
1195,445,2,32,128,4,2529.56548571587
1195,445,2,32,128,4,2534.94552946091
1195,445,2,32,128,4,3079.30666637421
1195,445,2,32,128,4,2413.29617929459
1195,445,2,4,2032,4,5751.58274054527
1195,445,2,4,2032,4,5795.5220849514
1195,445,2,4,2032,4,5965.39580321312
1195,445,2,4,2032,4,6195.52381300926
1195,445,2,8,1016,4,5293.24145460129
1195,445,2,8,1016,4,5361.7755792141
1195,445,2,8,1016,4,5444.13509941101
1195,445,2,8,1016,4,5571.96881484985
1195,445,2,16,512,4,5176.43896794319
1195,445,2,16,512,4,5207.17114877701
1195,445,2,16,512,4,5217.6821668148
1195,445,2,16,512,4,5262.146515131
1195,445,2,32,256,4,5112.57437944412
1195,445,2,32,256,4,5102.64120793343
1195,445,2,32,256,4,4916.30481934547
1195,445,2,32,256,4,4935.56907653809
1195,445,1,2,1018,4,2470.9859585762
1195,445,1,4,510,4,2352.82328701019
1195,445,1,4,510,4,2369.12972044945
1195,445,1,4,510,4,2406.01959061623
1195,445,1,4,510,4,2484.30023050308
1195,445,1,8,256,4,2294.02377700806
1195,445,1,8,256,4,2299.46281003952
1195,445,1,8,256,4,2295.00752878189
1195,445,1,8,256,4,2399.5341155529
1195,445,1,16,128,4,2242.7230052948
1195,445,1,16,128,4,2244.42358493805
1195,445,1,16,128,4,2165.30725860596
1195,445,1,16,128,4,2285.98210668564
1195,445,1,32,64,4,2167.74971747398
1195,445,1,32,64,4,2179.74173259735
