disk speed(8),Network depth(11),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
216,10,32,123,4,71.9727668762207
216,10,32,103,4,71.9727668762207
216,10,64,62,4,14.4850978851318
216,10,64,42,4,14.4850978851318
216,10,128,32,4,15.7528960704803
216,10,128,12,4,15.7528960704803
216,10,256,17,4,17.0337064266205
216,10,256,17,4,69.7575941085815
216,10,512,9,4,18.6031920909882
384,10,64,123,8,24.5380115509033
384,10,64,103,8,24.5380115509033
384,10,64,123,8,24.4184165000915
384,10,64,103,8,24.4184165000915
384,10,64,123,8,24.5930049419403
384,10,64,103,8,24.5930049419403
384,10,64,62,8,16.5575520992279
384,10,64,42,8,16.5575520992279
384,10,64,62,8,16.7874805927277
384,10,64,42,8,16.7874805927277
384,10,64,62,8,16.7109413146973
384,10,64,42,8,16.7109413146973
384,1,512,161,2,453.338747262955
384,1,512,141,2,453.338747262955
384,1,512,161,2,452.770868778229
384,1,512,141,2,452.770868778229
384,1,512,161,2,453.847754955292
384,1,512,141,2,453.847754955292
384,2,512,161,2,452.352120161057
384,2,512,141,2,452.352120161057
384,2,512,161,2,453.571901321411
384,2,512,141,2,453.571901321411
384,2,512,161,2,455.119205236435
384,2,512,141,2,455.119205236435
384,3,512,161,2,458.676218986511
384,3,512,141,2,458.676218986511
384,3,512,161,2,456.862650156021
384,3,512,141,2,456.862650156021
384,3,512,161,2,457.359563589096
384,3,512,141,2,457.359563589096
384,4,512,161,2,460.393991947174
384,4,512,141,2,460.393991947174
384,4,512,161,2,457.537553310394
384,4,512,141,2,457.537553310394
384,4,512,161,2,461.92427945137
384,4,512,141,2,461.92427945137
384,5,512,161,2,465.183670520783
384,5,512,141,2,465.183670520783
384,5,512,161,2,465.08869767189
384,5,512,141,2,465.08869767189
384,5,512,161,2,463.005229711533
384,5,512,141,2,463.005229711533
384,6,512,161,2,467.059684276581
384,6,512,141,2,467.059684276581
384,6,512,161,2,466.304573774338
384,6,512,141,2,466.304573774338
384,6,512,161,2,464.468834877014
384,6,512,141,2,464.468834877014
384,7,512,161,2,467.954860448837
384,7,512,141,2,467.954860448837
384,7,512,161,2,467.737625598908
384,7,512,141,2,467.737625598908
384,7,512,161,2,465.071327209473
384,7,512,141,2,465.071327209473
384,8,512,161,2,474.17252445221
384,8,512,141,2,474.17252445221
384,8,512,161,2,474.205210447311
384,8,512,141,2,474.205210447311
384,8,512,161,2,473.70597910881
384,8,512,141,2,473.70597910881
384,9,512,161,2,472.722421884537
384,9,512,141,2,472.722421884537
384,9,512,161,2,471.718274354935
384,9,512,141,2,471.718274354935
384,9,512,161,2,477.064149856567
384,9,512,141,2,477.064149856567
384,10,512,161,2,474.967717409134
384,10,512,141,2,474.967717409134
384,10,512,161,2,474.917022228241
384,10,512,141,2,474.917022228241
384,10,512,161,2,470.640143156052
384,10,512,141,2,470.640143156052
384,1,256,311,2,434.635955810547
384,1,256,291,2,434.635955810547
384,1,256,311,2,434.053451299667
384,1,256,291,2,434.053451299667
384,1,256,311,2,434.19192647934
384,1,256,291,2,434.19192647934
384,2,256,311,2,434.629586696625
384,2,256,291,2,434.629586696625
384,2,256,311,2,434.430874109268
384,2,256,291,2,434.430874109268
384,2,256,311,2,432.969962120056
384,2,256,291,2,432.969962120056
384,3,256,311,2,434.054448366165
384,3,256,291,2,434.054448366165
384,3,256,311,2,434.738176345825
384,3,256,291,2,434.738176345825
384,3,256,311,2,434.242877483368
