GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),overall execution time(31)
1195,445,1,128,1012,518.770277738571
1195,445,1,128,1012,519.442648172378
1195,445,1,64,2023,550.678551197052
1195,445,1,64,2023,551.245548009872
1195,445,1,32,4045,707.055256128311
1195,445,1,32,4045,704.46093249321
1195,445,1,16,8089,1046.43916487694
1195,445,1,16,8089,1045.87579345703
5591,384,1,128,1012,486.361314058304
5591,384,1,128,1012,484.858198404312
11339,270,1,128,1012,416.410284996033
11339,270,1,128,1012,416.121624469757
11339,270,1,128,1012,416.359198093414
11339,270,1,128,1012,421.221211194992
7365,216,2,128,1012,269.732533931732
1195,445,2,128,1012,452.358819961548
1195,445,2,64,2023,452.80237698555
1195,445,2,32,4045,559.276861429214
1195,445,2,16,8089,966.200646400452
5591,384,2,128,1012,469.47655415535
5591,384,2,128,1012,468.729401350021
11339,270,2,128,1012,426.521108150482
11339,270,2,128,1012,427.711566925049
11339,270,2,128,1012,423.608344554901
11339,270,2,128,1012,426.82129073143
