GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),overall execution time(31)
7365,216,1,256,487,214.987806558609
7365,216,1,256,487,208.22536277771
7365,216,1,128,992,247.446305751801
7365,216,1,128,992,240.085112810135
1195,445,1,256,487,659.691977262497
1195,445,1,256,487,659.057798862457
1195,445,1,128,992,767.956573724747
1195,445,1,128,992,768.94030880928
1195,445,1,64,2003,916.72431230545
1195,445,1,64,2003,916.712799072266
1195,445,1,32,4025,1446.0270986557
1195,445,1,32,4025,1445.63550567627
1195,445,1,16,8069,2324.51329421997
1195,445,1,16,8069,2327.40035653114
5591,384,1,256,487,317.210364580154
5591,384,1,256,487,313.18271946907
5591,384,1,128,992,372.308933496475
5591,384,1,128,992,373.175112009048
11339,270,1,256,487,235.668580055237
11339,270,1,128,992,231.962637424469
7365,216,2,256,992,352.181656122208
7365,216,2,256,992,271.96244597435
1195,445,2,256,992,769.229248046875
1195,445,2,256,992,770.01549911499
1195,445,2,128,2003,914.893874168396
1195,445,2,128,2003,917.216737270355
1195,445,2,64,4025,1444.1309595108
1195,445,2,64,4025,1446.3521566391
1195,445,2,32,8069,2323.88850545883
1195,445,2,32,8069,2329.64893770218
5591,384,2,256,992,430.935603380203
5591,384,2,256,992,433.888067007065
11339,270,2,256,992,232.818262338638
