GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),overall execution time(31)
1195,445,1,2,1018,2470.9859585762
1195,445,1,4,510,2352.82328701019
1195,445,1,4,510,2369.12972044945
1195,445,1,4,510,2406.01959061623
1195,445,1,4,510,2484.30023050308
1195,445,1,8,256,2294.02377700806
1195,445,1,8,256,2299.46281003952
1195,445,1,8,256,2295.00752878189
1195,445,1,8,256,2399.5341155529
1195,445,1,16,128,2242.7230052948
1195,445,1,16,128,2244.42358493805
1195,445,1,16,128,2165.30725860596
1195,445,1,16,128,2285.98210668564
1195,445,1,32,64,2167.74971747398
1195,445,1,32,64,2179.74173259735
1195,445,1,4,1020,4717.24171972275
1195,445,1,4,1020,4749.84724283218
1195,445,1,4,1020,4870.94221711159
1195,445,1,4,1020,5046.79136586189
1195,445,1,8,512,4625.30253481865
1195,445,1,8,512,4623.93403935432
1195,445,1,8,512,4674.46370816231
1195,445,1,8,512,4789.0959584713
1195,445,1,16,256,4519.37767219544
1195,445,1,16,256,4525.28149962425
1195,445,1,16,256,4503.25993943214
1195,445,1,16,256,4606.90076208115
1195,445,1,32,128,4428.68162441254
1195,445,1,32,128,4446.91105556488
1195,445,1,4,2040,9568.38677120209
1195,445,1,4,2040,9477.00664067268
1195,445,1,4,2040,9904.58688855171
1195,445,1,8,1024,9529.25635027886
1195,445,1,8,1024,9674.0337023735
1195,445,1,16,512,9062.53517341614
1195,445,1,16,512,9133.13095450401
1195,445,1,16,512,9101.40840816498
1195,445,1,16,512,9232.60193991661
1195,445,1,32,256,8956.83830428123
1195,445,1,32,256,8984.71820473671
5591,431,1,2,128,295.709367275238
5591,431,1,2,128,284.729215145111
5591,431,1,4,64,266.089838027954
5591,431,1,4,64,265.60644865036
5591,431,1,8,32,256.033462047577
5591,431,1,8,32,263.134799718857
5591,431,1,16,16,272.666913509369
5591,431,1,16,16,268.679664134979
5591,431,1,32,8,264.868385314941
5591,431,1,32,8,263.907146453857
5591,431,1,64,4,260.30127120018
5591,431,1,64,4,258.309434175491
5591,431,1,2,256,578.700079202652
5591,431,1,2,256,578.675316572189
5591,431,1,4,128,544.919731855393
5591,431,1,4,128,546.500641584396
5591,431,1,8,64,499.675441980362
5591,431,1,8,64,509.448203086853
5591,431,1,16,32,507.00040602684
5591,431,1,16,32,518.489587306976
5591,431,1,32,16,504.907190322876
5591,431,1,32,16,502.035592079163
5591,431,1,64,8,498.025402545929
5591,431,1,64,8,518.509129047394
5591,431,1,2,128,537.118480920792
5591,431,1,2,128,537.141956806183
5591,431,1,4,64,320.373059034348
5591,431,1,4,64,317.877009868622
5591,431,1,8,32,290.97887969017
5591,431,1,8,32,291.546857595444
5591,431,1,16,16,309.886192083359
5591,431,1,16,16,314.589242458343
5591,431,1,32,8,304.941668748856
5591,431,1,32,8,309.439025878906
5591,431,1,2,256,1056.7014966011
5591,431,1,2,256,1060.22622823715
5591,431,1,4,128,638.776364088059
5591,431,1,4,128,616.64737701416
5591,431,1,8,64,587.819266319275
5591,431,1,8,64,566.32145190239
5591,431,1,16,32,603.341258764267
5591,431,1,16,32,622.855024337769
5591,431,1,32,16,578.257297039032
5591,431,1,32,16,589.899410009384
5591,431,1,2,128,535.866296768188
5591,431,1,2,128,536.699763536453
5591,431,1,4,64,317.500201940536
5591,431,1,4,64,317.428084373474
5591,431,1,8,32,295.998600482941
5591,431,1,8,32,293.940708398819
5591,431,1,16,16,310.574814319611
5591,431,1,16,16,304.506388664246
5591,431,1,32,8,317.512195587158
5591,431,1,32,8,316.481189012527
5591,431,1,2,256,1056.18923068047
5591,431,1,2,256,1057.42065501213
5591,431,1,4,128,633.727051496506
5591,431,1,4,128,643.271106243133
5591,431,1,8,64,558.774825572968
5591,431,1,8,64,562.299696207047
5591,431,1,16,32,591.891891002655
5591,431,1,16,32,602.689419746399
5591,431,1,32,16,613.831231117249
5591,431,1,32,16,584.246671676636
7365,431,1,2,128,290.004628181457
7365,431,1,2,128,288.435373783112
7365,431,1,4,64,269.978940963745
7365,431,1,4,64,267.957081794739
7365,431,1,8,32,250.533061027527
7365,431,1,8,32,259.975787401199
7365,431,1,16,16,257.556807518005
7365,431,1,16,16,254.518697500229
7365,431,1,32,8,259.981291294098
7365,431,1,32,8,249.913714408874
7365,431,1,64,4,249.056532621384
7365,431,1,64,4,245.031931877136
7365,431,1,2,256,560.266533374786
7365,431,1,2,256,561.7647793293
7365,431,1,4,128,531.689768791199
7365,431,1,4,128,509.222510814667
7365,431,1,8,64,498.899326324463
7365,431,1,8,64,489.322523117065
7365,431,1,16,32,482.804384946823
7365,431,1,16,32,500.658886432648
7365,431,1,32,16,485.224736690521
7365,431,1,32,16,511.352350234985
7365,431,1,64,8,487.783465862274
7365,431,1,64,8,497.300215959549
7365,431,1,2,128,505.854392766953
7365,431,1,2,128,504.366094112396
7365,431,1,4,64,305.21657538414
7365,431,1,4,64,305.190501928329
7365,431,1,8,32,300.756446838379
7365,431,1,8,32,302.144322395325
7365,431,1,16,16,276.649098157883
7365,431,1,16,16,275.759014844894
7365,431,1,32,8,279.183345556259
7365,431,1,32,8,284.299466609955
7365,431,1,2,256,994.933646440506
7365,431,1,2,256,995.163805484772
7365,431,1,4,128,608.020799875259
7365,431,1,4,128,606.928765535355
7365,431,1,8,64,599.072911739349
7365,431,1,8,64,621.484186887741
7365,431,1,16,32,545.48804807663
7365,431,1,16,32,542.49983549118
7365,431,1,32,16,543.003348350525
7365,431,1,32,16,541.487861394882
7365,431,1,2,128,504.341006755829
7365,431,1,2,128,504.45991563797
7365,431,1,4,64,310.738995552063
7365,431,1,4,64,305.171675443649
7365,431,1,8,32,308.150882959366
7365,431,1,8,32,300.826015472412
7365,431,1,16,16,283.141196012497
7365,431,1,16,16,271.808087825775
7365,431,1,32,8,276.615056276321
7365,431,1,32,8,279.729614973068
7365,431,1,2,256,995.49915766716
7365,431,1,2,256,995.913444757462
7365,431,1,4,128,629.161444664002
7365,431,1,4,128,608.524053096771
7365,431,1,8,64,586.943204641342
7365,431,1,8,64,589.051124572754
7365,431,1,16,32,539.951891899109
7365,431,1,16,32,532.473974704742
7365,431,1,32,16,522.071145772934
7365,431,1,32,16,519.984159469604
11339,270,1,16,4,74.5050611495972
11339,270,1,16,4,72.8466398715973
11339,270,1,16,16,269.303255319595
11339,270,1,32,8,263.894872665405
11339,270,1,64,4,258.845809698105
11339,270,1,16,32,501.468852996826
11339,270,1,32,16,529.655473947525
11339,270,1,64,8,552.652570009232
11339,270,1,16,16,308.740159034729
11339,270,1,32,8,308.334068775177
11339,270,1,16,32,555.913681030273
11339,270,1,32,16,543.605345010757
11339,270,1,16,16,293.715964794159
11339,270,1,32,8,298.392446279526
11339,270,1,16,32,572.942286968231
11339,270,1,32,16,562.978233098984
1195,445,2,3,8,33.6770856380463
1195,445,2,3,8,32.9198217391968
1195,445,2,3,8,33.2939298152924
1195,445,2,3,8,32.8801546096802
1195,445,2,3,8,33.5387816429138
1195,445,2,3,8,34.0102303028107
1195,445,2,3,8,32.8679702281952
1195,445,2,3,4,35.2357161045075
1195,445,2,3,20,38.7277810573578
1195,445,2,3,8,30.4461894035339
1195,445,2,3,20,39.3512551784515
1195,445,2,3,20,38.9985206127167
1195,445,2,3,8,29.2562980651855
1195,445,2,3,8,30.2303745746612
1195,445,2,3,8,44.6341750621796
1195,445,2,3,8,46.5379908084869
1195,445,2,3,8,60.849365234375
1195,445,2,4,508,1403.50471234322
1195,445,2,4,508,1408.73230457306
1195,445,2,4,508,1451.21002793312
1195,445,2,4,508,1504.72292351723
1195,445,2,8,254,1321.93523740768
1195,445,2,8,254,1328.03494429588
1195,445,2,8,254,1361.02193164825
1195,445,2,8,254,1380.16289949417
1195,445,2,16,128,1292.67059803009
1195,445,2,16,128,1292.51698160171
1195,445,2,16,128,1306.88745832443
1195,445,2,16,128,1269.97377610207
1195,445,2,32,64,1243.2588160038
1195,445,2,32,64,1248.38188433647
1195,445,2,32,64,1165.8748254776
1195,445,2,32,64,1271.94163656235
1195,445,2,4,1016,2799.36350822449
1195,445,2,4,1016,2808.28893899918
1195,445,2,4,1016,2894.03890109062
1195,445,2,4,1016,3041.26241374016
1195,445,2,8,508,2648.42402935028
1195,445,2,8,508,2631.01733851433
1195,445,2,8,508,2712.74455547333
1195,445,2,8,508,2748.55504274368
1195,445,2,16,256,2581.36334681511
1195,445,2,16,256,2585.32936930656
1195,445,2,16,256,2561.6733675003
1195,445,2,16,256,2662.69270801544
1195,445,2,32,128,2529.56548571587
1195,445,2,32,128,2534.94552946091
1195,445,2,32,128,3079.30666637421
1195,445,2,32,128,2413.29617929459
1195,445,2,4,2032,5751.58274054527
1195,445,2,4,2032,5795.5220849514
1195,445,2,4,2032,5965.39580321312
1195,445,2,4,2032,6195.52381300926
1195,445,2,8,1016,5293.24145460129
1195,445,2,8,1016,5361.7755792141
1195,445,2,8,1016,5444.13509941101
1195,445,2,8,1016,5571.96881484985
1195,445,2,16,512,5176.43896794319
1195,445,2,16,512,5207.17114877701
1195,445,2,16,512,5217.6821668148
1195,445,2,16,512,5262.146515131
1195,445,2,32,256,5112.57437944412
1195,445,2,32,256,5102.64120793343
1195,445,2,32,256,4916.30481934547
1195,445,2,32,256,4935.56907653809
5591,431,2,2,128,188.814610481262
5591,431,2,2,128,187.820122718811
5591,431,2,4,64,170.666156768799
5591,431,2,4,64,178.212662220001
5591,431,2,8,32,159.095155239105
5591,431,2,8,32,164.134955406189
5591,431,2,16,16,159.808699369431
5591,431,2,16,16,157.564848661423
5591,431,2,32,8,164.093732118607
5591,431,2,32,8,163.903259038925
5591,431,2,64,4,160.603782653809
5591,431,2,64,4,164.788105010986
5591,431,2,128,4,280.324315786362
5591,431,2,128,4,286.773101091385
5591,431,2,2,256,367.566860437393
5591,431,2,2,256,362.514872074127
5591,431,2,4,128,317.900043010712
5591,431,2,4,128,333.423915147781
5591,431,2,8,64,294.960963010788
5591,431,2,8,64,293.512141227722
5591,431,2,16,32,295.595920562744
5591,431,2,16,32,287.990772008896
5591,431,2,32,16,302.840654373169
5591,431,2,32,16,298.681166172028
5591,431,2,64,8,298.688720226288
5591,431,2,64,8,287.620144844055
5591,431,2,128,8,547.339837551117
5591,431,2,128,8,578.41474199295
5591,431,2,2,128,507.85794210434
5591,431,2,2,128,508.54966211319
