GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),overall execution time(31)
1195,445,1,8,16176,6465.62936902046
1195,445,1,8,16176,6461.29344081879
1195,445,1,8,16176,6472.36901879311
1195,445,1,8,16176,6478.40639066696
1195,445,1,8,16176,6464.40962672234
1195,445,1,4,32350,7668.40031313896
1195,445,1,4,32350,7699.93024325371
1195,445,1,4,32350,7662.89406204224
1195,445,1,2,64699,9664.78986859322
1195,445,1,2,64699,9692.18070387841
1195,445,1,2,64699,9751.13036203384
5591,384,1,16,8089,3131.10959744453
5591,384,1,16,8089,3115.40826249123
5591,384,1,8,16176,3867.22130489349
5591,384,1,8,16176,3843.95602083206
11339,270,1,16,8089,848.37416934967
11339,270,1,8,16176,1070.80102944374
1195,445,1,8,16176,6467.96479177475
1195,445,1,4,32350,7677.27612400055
7365,216,2,16,8089,1488.62640929222
7365,216,2,8,16176,2112.30529022217
1195,445,2,16,8089,3539.34321379662
1195,445,2,16,8089,3539.06478381157
1195,445,2,8,16176,4330.08655881882
1195,445,2,8,16176,4322.40190696716
1195,445,2,8,16176,4342.43262457848
5591,384,2,16,8089,2428.51645731926
5591,384,2,16,8089,2435.78071856499
5591,384,2,8,16176,3095.74007511139
5591,384,2,8,16176,3104.29525589943
11339,270,2,16,8089,997.490647554398
11339,270,2,8,16176,1547.3274307251
1195,445,2,8,16176,4334.82279443741
1195,445,2,4,32350,5851.71520137787
