GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),overall execution time(31)
7365,384,1,64,2003,1559.75501298904
7365,384,1,64,2003,1555.07688355446
7365,384,1,32,4025,1613.51362705231
7365,384,1,32,4025,1611.79513168335
5591,384,1,64,2003,2408.33181357384
5591,384,1,64,2003,2412.39710640907
5591,384,1,64,2003,2292.73311209679
5591,384,1,64,2003,2320.17679405212
5591,384,1,32,4025,2626.21746015549
5591,384,1,32,4025,2638.54662132263
5591,384,1,32,4025,2594.03486132622
5591,384,1,32,4025,2596.56036400795
11339,270,1,64,2003,675.277099847794
11339,270,1,32,4025,789.561199188232
7365,384,2,128,2003,1646.0527305603
7365,384,2,128,2003,1652.82013106346
7365,384,2,64,4025,1716.66937971115
7365,384,2,64,4025,1696.25874352455
7365,384,2,32,8069,1865.48249173164
7365,384,2,32,8069,1871.59500193596
7365,384,2,128,2003,1624.75183582306
7365,384,2,128,2003,1623.93693900108
7365,384,2,64,4025,1703.01605415344
7365,384,2,64,4025,1714.72504043579
7365,384,2,32,8069,1868.63786792755
7365,384,2,32,8069,1880.71574091911
5591,384,2,128,2003,2476.67377138138
5591,384,2,128,2003,2472.45475101471
1195,445,2,32,8069,4885.45383453369
1195,445,2,32,8069,4852.87484884262
1195,445,2,32,8069,4873.18357825279
5591,384,2,64,4025,2783.76813197136
5591,384,2,64,4025,2783.46100473404
5591,384,2,32,8069,3269.73425936699
5591,384,2,32,8069,3245.84674501419
11339,270,2,128,2003,699.043463468552
11339,270,2,64,4025,816.770866155624
11339,270,2,32,8069,1046.66822433472
1195,445,2,32,8069,4888.32304024696
1195,445,2,32,8069,4863.48001980782
