GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),overall execution time(31)
7365,216,1,32,12133,10264.3711211681
7365,384,1,32,12133,10170.7287955284
7365,384,1,32,12133,10617.5721285343
7365,384,1,16,24265,11097.2196068764
7365,384,1,16,24265,11197.4093503952
7365,384,1,8,48526,14888.3002851009
7365,384,1,8,48526,14876.8818075657
7365,216,1,32,4045,3451.8256983757
7365,216,1,32,4045,3480.42532491684
7365,216,1,16,8089,3760.84566235542
7365,216,1,16,8089,3755.74840641022
7365,216,1,8,16176,5056.62246465683
7365,216,1,8,16176,5044.33588218689
5591,384,1,32,4045,4490.49107694626
5591,384,1,32,4045,4472.71372318268
5591,384,1,16,8089,4988.45152711868
5591,384,1,16,8089,5002.9091129303
5591,384,1,8,16176,7256.413813591
5591,384,1,8,16176,7264.26926517487
11339,270,1,32,4045,1390.98594093323
11339,270,1,16,8089,1523.2283744812
11339,270,1,8,16176,1896.55021429062
7365,216,2,32,12133,6253.69483757019
7365,216,2,32,4045,2047.82520771027
7365,216,2,32,12133,6167.29949498177
7365,216,2,16,24265,8325.77938365936
7365,216,2,8,48526,11304.8227307796
7365,216,2,32,4045,2044.21436548233
7365,216,2,32,4045,2071.13981294632
7365,216,2,16,8089,2806.64998745918
7365,216,2,16,8089,2831.12776851654
7365,216,2,8,16176,3691.67570257187
7365,216,2,8,16176,3692.4728000164
5591,384,2,32,4045,2851.05324721336
5591,384,2,32,4045,2869.52282881737
5591,384,2,16,8089,4341.69828915596
5591,384,2,16,8089,4538.29909610748
5591,384,2,8,16176,5935.82173514366
5591,384,2,8,16176,5875.32119607925
11339,270,2,32,4045,887.796244859695
11339,270,2,16,8089,1167.95140957832
11339,270,2,8,16176,1607.44033288956
5591,431,2,32,4045,2821.73801732063
5591,431,2,32,4045,2817.33790159225
5591,431,2,16,8089,4304.35089421272
5591,431,2,16,8089,4299.22365474701
5591,431,2,8,16176,5930.86309957504
5591,431,2,8,16176,5959.82275700569
5591,431,2,16,8089,4314.18374347687
5591,431,2,16,8089,4312.61985421181
5591,431,2,8,16176,5958.32075405121
5591,431,2,8,16176,6066.76014614105
