GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
7365,384,1,32,4025,2,4908.89214611054
7365,384,1,32,4025,2,4867.86076927185
7365,384,1,32,4025,4,4893.93532824516
7365,384,1,32,4025,4,4927.37988638878
7365,384,1,32,4025,6,5070.05150198937
7365,384,1,32,4025,6,4975.81585359573
7365,384,1,32,4025,8,4937.70219945908
7365,384,1,32,4025,8,5037.86220741272
7365,384,1,16,8069,2,6293.0791053772
7365,384,1,16,8069,2,6335.96596693993
7365,384,1,16,8069,4,6330.32487106323
7365,384,1,16,8069,4,6366.09564137459
7365,384,1,16,8069,6,6398.00494360924
7365,384,1,16,8069,6,6388.33656430245
7365,384,1,16,8069,8,6455.22274971008
7365,384,1,16,8069,8,6426.73565983773
7365,384,1,8,16156,2,9772.29314351082
7365,384,1,8,16156,2,9622.71209383011
7365,384,1,8,16156,4,10051.4702274799
7365,384,1,8,16156,4,9840.96686315536
7365,384,1,8,16156,6,9792.48006129265
7365,384,1,8,16156,6,9983.08179759979
7365,384,1,8,16156,8,9961.86088728905
7365,384,1,8,16156,8,9877.41303157806
7365,384,1,32,12112,2,14641.8248074055
7365,384,1,32,12112,2,14602.3377528191
7365,384,1,32,12112,4,14613.4056601524
7365,384,1,32,12112,4,15036.6542549133
7365,384,1,32,12112,6,14600.3923056126
7365,384,1,32,12112,6,14720.6845343113
7365,384,1,32,12112,8,14656.2769758701
7365,384,1,32,12112,8,14662.4962165356
7365,384,1,16,24243,2,19002.5334727764
7365,384,1,16,24243,2,19123.5484566689
7365,384,1,16,24243,4,18864.3560376167
7365,384,1,16,24243,4,19216.1970894337
7365,384,1,16,24243,6,19098.1589918137
7365,384,1,16,24243,6,19162.6129808426
7365,384,1,16,24243,8,19091.4073131084
7365,384,1,16,24243,8,19106.6668069363
7365,384,1,8,48505,2,29004.1927466392
7365,384,1,8,48505,2,29155.6031270027
7365,384,1,8,48505,4,29211.8250799179
7365,384,1,8,48505,4,29211.5445177555
7365,384,1,8,48505,6,29807.4818572998
7365,384,1,8,48505,6,29603.0118176937
7365,384,1,8,48505,8,29598.6230852604
7365,384,1,8,48505,8,29764.6067943573
