GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
7365,216,2,64,6067,2,3226.43249344826
7365,216,1,64,6067,2,5210.83264565468
7365,216,2,64,6067,4,3248.41768097877
7365,216,2,64,6067,8,3200.58898711205
7365,216,1,64,6067,4,5245.19087171555
7365,216,2,64,6067,12,3215.37580990791
7365,216,1,64,6067,6,5196.56885528565
7365,216,2,64,6067,16,3201.3520181179
7365,216,2,32,12133,2,3714.72211933136
7365,216,1,64,6067,8,5218.58509635925
7365,216,2,32,12133,4,3579.75764584541
7365,216,1,32,12133,2,5294.02578759193
7365,216,2,32,12133,8,3564.9445104599
7365,216,2,32,12133,12,3682.57172727585
7365,216,1,32,12133,4,5292.99756097794
7365,216,2,32,12133,16,3676.90243172646
7365,216,1,32,12133,6,5319.56592178345
7365,216,2,16,24265,2,4407.68622136116
7365,216,1,32,12133,8,5319.72720623017
7365,216,2,16,24265,4,4375.84921598435
7365,216,1,16,24265,2,5601.36352062225
7365,216,2,16,24265,8,4407.85326194763
7365,216,2,16,24265,12,4411.36671757698
7365,216,1,16,24265,4,5607.0695514679
7365,216,2,16,24265,16,4413.1921453476
7365,216,1,16,24265,6,5601.4138302803
7365,216,2,8,48526,2,6290.75998020172
7365,216,1,16,24265,8,5607.07144260407
7365,216,2,8,48526,4,6247.15626811981
7365,216,1,8,48526,2,6526.2479391098
7365,216,2,8,48526,8,6269.48654913902
7365,216,1,8,48526,4,6517.60386753082
7365,216,2,8,48526,12,6324.07478952408
7365,216,1,8,48526,6,6524.70159387589
7365,216,2,8,48526,16,6307.1372487545
7365,216,1,8,48526,8,6509.33642864227
1195,445,2,16,24265,2,10558.6851439476
1195,445,2,16,24265,2,10606.0634760857
1195,445,2,16,24265,4,10607.6202189922
1195,445,2,16,24265,4,10605.011731863
1195,445,2,16,24265,8,10595.2163772583
1195,445,2,16,24265,12,10589.8929197788
1195,445,2,16,24265,12,10567.5738420486
1195,445,2,16,24265,12,10585.5557696819
1195,445,2,16,24265,16,10601.5551979542
1195,445,2,16,24265,16,10556.8920273781
1195,445,2,8,48526,2,13316.3145923615
1195,445,2,8,48526,2,13127.6907296181
1195,445,2,8,48526,2,13268.505610466
1195,445,2,8,48526,4,13027.8335750103
1195,445,2,8,48526,4,13093.9704515934
1195,445,2,8,48526,4,13037.8755376339
1195,445,2,8,48526,8,13040.4694573879
1195,445,2,8,48526,8,13072.0599870682
1195,445,2,8,48526,8,13089.8467144966
1195,445,2,8,48526,12,13002.4341144562
1195,445,2,8,48526,12,13059.5609593391
7365,216,2,64,2023,2,1092.88610816002
7365,216,2,64,2023,4,1090.502191782
7365,216,2,64,2023,8,1091.15876340866
7365,216,2,64,2023,12,1098.31696438789
7365,216,2,64,2023,16,1093.0342900753
7365,216,4,64,6067,2,2235.34218335152
1195,445,2,8,48526,12,12993.2780425549
7365,216,2,32,4045,2,1238.68426823616
7365,216,4,64,6067,2,2401.5524353981
7365,216,2,32,4045,4,1265.94119334221
7365,216,2,32,4045,8,1276.13239240646
7365,216,4,64,6067,4,2227.65358304977
7365,216,4,64,6067,4,2283.21317458153
7365,216,2,32,4045,12,1267.17586636543
7365,216,2,32,4045,16,1272.01009631157
7365,216,4,64,6067,8,2222.62022852898
1195,445,2,8,48526,16,13047.0668642521
7365,216,2,16,8089,2,1471.7588326931
7365,216,4,64,6067,8,2241.46646690369
7365,216,2,16,8089,4,1488.62640929222
7365,216,4,64,6067,16,2248.08993339539
7365,216,2,16,8089,8,1481.69209837914
7365,216,4,64,6067,16,2248.70270705223
7365,216,2,16,8089,12,1474.28977441788
7365,216,2,16,8089,16,1469.07680630684
1195,445,2,8,48526,16,13064.5820987225
7365,216,4,64,6067,24,2237.51096796989
7365,216,4,64,6067,24,2272.74125623703
7365,216,2,8,16176,2,2087.08695554733
7365,216,4,64,6067,32,2240.70718574524
7365,216,2,8,16176,4,2112.30529022217
7365,216,4,64,6067,32,2228.7806429863
7365,216,2,8,16176,8,2078.73836159706
1195,445,2,8,48526,16,12980.3987138271
7365,216,4,32,12133,2,2886.42759490013
7365,216,2,8,16176,12,2075.54221177101
7365,216,4,32,12133,2,2756.00437927246
7365,216,2,8,16176,16,2079.85563755035
7365,216,4,32,12133,4,2749.46157598495
7365,216,4,32,12133,4,2806.42349863052
7365,216,4,32,12133,8,2725.77890610695
7365,216,4,32,12133,8,2772.26964426041
7365,216,4,32,12133,16,2760.07876062393
7365,216,4,32,12133,16,2768.42596530914
7365,216,4,32,12133,24,2769.28795456886
7365,216,4,32,12133,24,2728.32898902893
7365,216,4,32,12133,32,2965.99799966812
7365,216,4,32,12133,32,2765.50145339966
7365,216,4,16,24265,2,4124.86434578896
7365,216,4,16,24265,2,4231.72539782524
7365,216,4,16,24265,4,4093.04705357552
7365,216,4,16,24265,4,4144.26761221886
7365,216,4,16,24265,8,4054.68096470833
7365,216,4,16,24265,8,4154.7170882225
7365,216,4,16,24265,16,4119.15018391609
7365,216,4,16,24265,16,4173.30677223206
7365,216,4,16,24265,24,4127.85127186775
7365,216,4,16,24265,24,4080.16130447388
7365,216,4,8,48526,32,7021.39112353325
7365,216,4,8,48526,32,7071.08946180344
7365,216,4,8,48526,2,6882.88793349266
7365,216,4,8,48526,2,7138.85118556023
7365,216,4,8,48526,4,6867.57221865654
7365,216,4,8,48526,4,6741.69540333748
7365,216,4,8,48526,8,6781.75703597069
7365,216,4,8,48526,8,6812.4432694912
7365,216,4,8,48526,16,6942.53672599792
7365,216,4,8,48526,16,6995.39256048203
7365,216,4,8,48526,24,6852.70987677574
7365,216,4,8,48526,24,6933.02881741524
7365,216,4,8,48526,32,6923.25198864937
7365,216,4,8,48526,32,6780.09309411049
7365,216,4,64,2023,2,831.72003698349
7365,216,4,64,2023,2,873.228413581848
7365,216,4,64,2023,4,810.375896692276
7365,216,4,64,2023,4,799.171157360077
7365,216,4,64,2023,8,842.542030334473
7365,216,4,64,2023,8,798.437741041183
7365,216,4,64,2023,16,789.21760892868
7365,216,4,64,2023,16,824.847466468811
7365,216,4,64,2023,24,797.390746116638
7365,216,4,64,2023,24,802.785217523575
7365,216,4,64,2023,32,807.770780801773
7365,216,4,64,2023,32,807.137224435806
7365,216,4,32,4045,2,967.334769010544
7365,216,4,32,4045,2,967.987360954285
7365,216,4,32,4045,4,970.241664171219
7365,216,4,32,4045,4,957.240301609039
7365,216,4,32,4045,8,969.552747964859
7365,216,4,32,4045,8,975.060514211655
7365,216,4,32,4045,16,978.464857578278
7365,216,4,32,4045,16,968.121960401535
7365,216,4,32,4045,24,979.881447076798
7365,216,4,32,4045,24,960.759994029999
7365,216,4,32,4045,32,971.603963136673
7365,216,4,32,4045,32,974.577568292618
7365,216,4,16,8089,2,1429.78811240196
7365,216,4,16,8089,2,1422.54026722908
7365,216,4,16,8089,4,1409.4289457798
7365,216,4,16,8089,4,1421.98563981056
7365,216,4,16,8089,8,1442.99762201309
7365,216,4,16,8089,8,1421.56140637398
7365,216,4,16,8089,16,1430.5045273304
7365,216,4,16,8089,16,1429.8995923996
7365,216,4,16,8089,24,1426.35139775276
