GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
7365,384,1,64,2003,2,1559.52456760407
7365,384,1,64,2003,2,1558.67915534973
7365,384,1,64,2003,4,1559.75501298904
7365,384,1,64,2003,4,1555.07688355446
7365,384,1,64,2003,6,1539.98349523544
7365,384,1,64,2003,6,1562.12696862221
7365,384,1,64,2003,8,1557.17744517326
7365,384,1,64,2003,8,1562.09337353706
7365,384,1,32,4025,2,1614.03109574318
7365,384,1,32,4025,2,1620.5216729641
7365,384,1,32,4025,4,1613.51362705231
7365,384,1,32,4025,4,1611.79513168335
7365,384,1,32,4025,6,1615.85347342491
7365,384,1,32,4025,6,1616.57051348686
7365,384,1,32,4025,8,1633.30291891098
7365,384,1,32,4025,8,1620.04672670364
7365,384,1,16,8069,2,1805.32225346565
7365,384,1,16,8069,2,1805.36447381973
7365,384,1,16,8069,4,1811.24922299385
7365,384,1,16,8069,4,1815.97130441666
7365,384,1,16,8069,6,1849.22601604462
7365,384,1,16,8069,6,1832.74168682098
7365,384,1,16,8069,8,1864.07107901573
7365,384,1,16,8069,8,1841.65959429741
7365,384,1,8,16156,2,2312.15754318237
7365,384,1,8,16156,2,2332.71167302132
7365,384,2,128,2003,2,1679.70058703423
7365,384,1,8,16156,4,2335.88585948944
7365,384,2,128,2003,2,1674.96689128876
7365,384,4,256,2003,2,1705.53863120079
7365,384,4,256,2003,2,1745.13182401657
7365,384,1,8,16156,4,2334.18003726006
7365,384,2,128,2003,4,1646.0527305603
7365,384,2,128,2003,4,1652.82013106346
7365,384,4,256,2003,4,1711.83180856705
7365,384,1,8,16156,6,2378.46659636498
7365,384,4,256,2003,4,1717.7273015976
7365,384,2,128,2003,6,1662.95736384392
7365,384,1,8,16156,6,2378.80857110023
7365,384,2,128,2003,6,1654.88259410858
7365,384,4,256,2003,6,1723.91308760643
7365,384,4,256,2003,6,1706.91389536858
7365,384,2,128,2003,8,1656.50430226326
7365,384,1,8,16156,8,2383.74798870087
7365,384,2,128,2003,8,1650.38095092773
7365,384,4,256,2003,8,1702.91258859634
7365,384,1,8,16156,8,2384.81677722931
7365,384,4,256,2003,8,1719.3729968071
7365,384,2,64,4025,2,1744.09725379944
7365,384,2,64,4025,2,1737.78609013557
7365,384,4,128,4025,2,1817.92792963982
7365,384,4,128,4025,2,1829.1032409668
7365,384,2,64,4025,4,1716.66937971115
7365,384,2,64,4025,4,1696.25874352455
7365,384,4,128,4025,4,1811.46400570869
7365,384,4,128,4025,4,1803.35187458992
7365,384,2,64,4025,6,1735.25798654556
7365,384,2,64,4025,6,1731.49167585373
7365,384,4,128,4025,6,1823.3148431778
7365,384,4,128,4025,6,1757.99542593956
7365,384,2,64,4025,8,1725.09208989143
7365,384,2,64,4025,8,1724.45105695724
7365,384,4,128,4025,8,1727.81749844551
7365,384,4,128,4025,8,1815.99561977386
7365,384,2,32,8069,2,1867.07602024078
7365,384,2,32,8069,2,1857.41344022751
7365,384,4,64,8069,2,1913.07619404793
7365,384,4,64,8069,2,1964.51045823097
7365,384,2,32,8069,4,1865.48249173164
7365,384,2,32,8069,4,1871.59500193596
7365,384,4,64,8069,4,1906.83084273338
7365,384,2,32,8069,6,1874.90498232842
7365,384,4,64,8069,4,1898.39594626427
7365,384,2,32,8069,6,1875.24372124672
7365,384,4,64,8069,6,1897.84001207352
7365,384,2,32,8069,8,1882.31958031654
7365,384,4,64,8069,6,1978.25559687614
