GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
7365,216,4,32,12133,2,4697.22674059868
7365,216,4,32,12133,4,4789.15031480789
7365,216,2,32,12133,2,6141.98274874687
7365,216,4,32,12133,8,4720.28498101234
7365,216,2,32,12133,4,6253.69483757019
7365,216,4,32,12133,16,4759.60518503189
7365,216,2,32,12133,8,6139.42898702621
7365,216,4,32,12133,24,4882.61613440514
7365,216,1,32,12133,2,10251.3800368309
7365,216,4,32,12133,32,4836.33364391327
7365,216,2,32,12133,12,6163.68077945709
7365,216,1,32,12133,4,10264.3711211681
7365,216,2,32,12133,16,6197.89299345017
7365,216,1,32,12133,6,10509.7487926483
7365,216,1,32,12133,8,10238.8723931313
7365,216,2,64,2023,4,1846.32731175423
7365,216,2,32,4045,4,2047.82520771027
7365,216,2,64,6067,2,5621.74910783768
7365,216,2,64,6067,4,5839.43751430512
7365,216,2,64,6067,6,5746.83948016167
7365,216,2,64,6067,8,5699.81344008446
7365,216,2,32,12133,2,6114.99808430672
7365,216,2,32,12133,4,6167.29949498177
7365,216,2,32,12133,6,6561.70221090317
7365,216,2,32,12133,8,6053.82361340523
7365,216,2,16,24265,2,8435.19617915154
7365,216,2,16,24265,4,8325.77938365936
7365,216,2,16,24265,6,8382.80405092239
7365,216,2,16,24265,8,8297.972925663
7365,216,2,8,48526,2,11068.6093556881
7365,216,2,8,48526,4,11304.8227307796
7365,216,2,8,48526,6,11099.8746819496
7365,216,2,8,48526,8,11085.8931391239
7365,216,2,64,2023,2,1966.05372571945
7365,216,2,64,2023,2,2053.32528281212
7365,216,4,64,6067,2,3633.76958823204
7365,216,2,64,2023,4,1878.95638990402
7365,216,4,64,6067,2,3982.07187414169
7365,216,2,64,2023,4,2139.06398463249
7365,216,2,64,2023,6,2039.80593419075
7365,216,2,64,2023,6,1852.58630943298
7365,216,4,64,6067,4,3869.25877714157
7365,216,2,64,2023,8,2056.71117782593
7365,216,4,64,6067,4,3917.6894800663
7365,216,2,64,2023,8,1958.59234380722
7365,216,2,32,4045,2,2051.80661845207
7365,216,2,32,4045,2,2052.72242808342
7365,216,4,64,6067,6,3586.09375953674
7365,216,4,64,6067,6,3757.78010797501
7365,216,2,32,4045,4,2044.21436548233
7365,216,2,32,4045,4,2071.13981294632
7365,216,2,32,4045,6,2041.82480335236
7365,216,4,64,6067,8,3965.86108088493
7365,216,2,32,4045,6,2116.83948040009
7365,216,4,64,6067,8,3683.25734949112
7365,216,2,32,4045,8,2060.81447458267
7365,216,2,32,4045,8,2036.46761155128
7365,216,2,16,8089,2,2796.10875582695
7365,216,2,16,8089,2,2788.5304684639
7365,216,2,16,8089,4,2806.64998745918
7365,216,2,16,8089,4,2831.12776851654
7365,216,2,16,8089,6,2813.83946585655
7365,216,4,16,24265,4,6354.09676003456
7365,216,2,16,8089,6,2801.11475920677
7365,216,4,16,24265,4,6349.93548893928
7365,216,2,16,8089,8,2799.64703035355
7365,216,2,16,8089,8,2805.01293492317
7365,216,2,8,16176,2,3700.95602726936
7365,216,4,16,24265,6,6368.92497777939
7365,216,2,8,16176,2,3743.84902358055
7365,216,4,16,24265,6,6382.921241045
7365,216,2,8,16176,4,3691.67570257187
7365,216,2,8,16176,4,3692.4728000164
7365,216,4,16,24265,8,6326.71446657181
7365,216,2,8,16176,6,3719.27511787415
7365,216,2,8,16176,6,3715.62420487404
