GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
7365,384,1,32,4025,2,4908.89214611054
7365,384,2,128,2003,2,4584.40381264687
7365,384,1,32,4025,2,4867.86076927185
7365,384,2,128,2003,2,4514.85225319862
7365,384,2,128,2003,4,4420.9166572094
7365,384,1,32,4025,4,4893.93532824516
7365,384,2,128,2003,4,4472.39728331566
7365,384,1,32,4025,4,4927.37988638878
7365,384,2,128,2003,6,4413.7106282711
7365,384,1,32,4025,6,5070.05150198937
7365,384,2,128,2003,6,4454.92256474495
7365,384,1,32,4025,6,4975.81585359573
7365,384,2,128,2003,8,4435.10009121895
7365,384,1,32,4025,8,4937.70219945908
7365,384,2,128,2003,8,4487.33140945435
7365,384,1,32,4025,8,5037.86220741272
7365,384,2,64,4025,2,5211.20252537727
7365,384,2,64,4025,2,5171.14320373535
7365,384,1,16,8069,2,6293.0791053772
7365,384,1,16,8069,2,6335.96596693993
7365,384,2,64,4025,4,5086.24939799309
7365,384,2,64,4025,4,5106.7697634697
7365,384,1,16,8069,4,6330.32487106323
7365,384,2,64,4025,6,5160.70258140564
7365,384,1,16,8069,4,6366.09564137459
7365,384,2,64,4025,6,5068.96901488304
7365,384,1,16,8069,6,6398.00494360924
7365,384,2,64,4025,8,5100.90786600113
7365,384,1,16,8069,6,6388.33656430245
7365,384,2,64,4025,8,5361.45654821396
7365,384,1,16,8069,8,6455.22274971008
7365,384,2,32,8069,2,6574.14935922623
7365,384,1,16,8069,8,6426.73565983773
7365,384,2,32,8069,2,6618.76510381699
7365,384,4,256,2003,2,4742.79828667641
7365,384,4,256,2003,2,4816.45564579964
7365,384,2,32,8069,4,6635.12904381752
7365,384,4,256,2003,4,4836.94705104828
7365,384,1,8,16156,2,9772.29314351082
7365,384,4,256,2003,4,5089.61661100388
7365,384,2,32,8069,4,6817.04759836197
7365,384,1,8,16156,2,9622.71209383011
7365,384,4,256,2003,6,4788.17520952225
7365,384,2,32,8069,6,6622.86266899109
7365,384,4,256,2003,6,5166.53877091408
7365,384,2,32,8069,6,6583.86592555046
7365,384,4,256,2003,8,4836.70679688454
7365,384,1,8,16156,4,10051.4702274799
7365,384,4,256,2003,8,4814.08782625199
7365,384,2,32,8069,8,6616.16086030006
7365,384,1,8,16156,4,9840.96686315536
7365,384,2,32,8069,8,6599.60985016823
7365,384,4,128,4025,2,5785.54600214958
7365,384,4,128,4025,2,5659.37664294243
7365,384,1,8,16156,6,9792.48006129265
7365,384,2,16,16156,2,10094.6570897102
7365,384,4,128,4025,4,5857.75964045525
7365,384,4,128,4025,4,5697.61066150665
7365,384,1,8,16156,6,9983.08179759979
7365,384,2,16,16156,2,9849.82801389694
7365,384,4,128,4025,6,5759.93838167191
7365,384,4,128,4025,6,5706.95428514481
7365,384,1,8,16156,8,9961.86088728905
7365,384,2,16,16156,4,10115.2445611954
7365,384,4,128,4025,8,5895.03882980347
7365,384,1,8,16156,8,9877.41303157806
7365,384,2,16,16156,4,10244.7990365028
7365,384,4,128,4025,8,5678.487398386
7365,384,4,64,8069,2,7577.0320661068
7365,384,2,16,16156,6,10158.6384124756
7365,384,4,64,8069,2,7556.15585374832
7365,384,1,32,12112,2,14641.8248074055
7365,384,2,16,16156,6,10074.6193158627
7365,384,4,64,8069,4,7749.21688318253
7365,384,1,32,12112,2,14602.3377528191
7365,384,4,64,8069,4,7624.8241186142
7365,384,2,16,16156,8,10387.2475671768
7365,384,4,64,8069,6,7546.96445417404
7365,384,2,16,16156,8,10228.193864584
7365,384,4,64,8069,6,7675.52967262268
7365,384,1,32,12112,4,14613.4056601524
7365,384,4,64,8069,8,7541.16342115402
7365,384,1,32,12112,4,15036.6542549133
7365,384,4,64,8069,8,7563.21790528297
7365,384,2,128,6047,2,13847.693104744
7365,384,4,32,16156,2,11768.3978829384
7365,384,1,32,12112,6,14600.3923056126
7365,384,2,128,6047,2,13376.9514138699
7365,384,4,32,16156,2,11941.7319476604
7365,384,1,32,12112,6,14720.6845343113
7365,384,2,128,6047,4,13556.6843960285
7365,384,4,32,16156,4,11803.9593992233
7365,384,2,128,6047,4,13307.1493632793
7365,384,4,32,16156,4,11801.4631998539
7365,384,1,32,12112,8,14656.2769758701
7365,384,1,32,12112,8,14662.4962165356
7365,384,4,32,16156,6,11905.1579287052
7365,384,2,128,6047,6,13435.3117778301
7365,384,4,32,16156,6,11810.6654069424
7365,384,2,128,6047,6,13419.6936764717
7365,384,1,16,24243,2,19002.5334727764
7365,384,4,32,16156,8,11783.4777188301
7365,384,2,128,6047,8,13401.7293088436
7365,384,1,16,24243,2,19123.5484566689
7365,384,4,32,16156,8,11932.4823601246
7365,384,2,128,6047,8,13528.0573534966
7365,384,1,16,24243,4,18864.3560376167
7365,384,2,64,12112,2,15921.9263043404
7365,384,4,256,6047,2,15676.9622776508
7365,384,2,64,12112,2,15617.4721946716
7365,384,1,16,24243,4,19216.1970894337
7365,384,4,256,6047,2,14272.225410223
7365,384,2,64,12112,4,16083.1330783367
7365,384,1,16,24243,6,19098.1589918137
7365,384,4,256,6047,4,14900.3317856789
7365,384,2,64,12112,4,15434.2951295376
7365,384,4,256,6047,4,14388.3988878727
7365,384,1,16,24243,6,19162.6129808426
7365,384,2,64,12112,6,15899.5699305534
7365,384,4,256,6047,6,14265.4633150101
7365,384,2,64,12112,6,15703.4628477097
7365,384,1,16,24243,8,19091.4073131084
7365,384,4,256,6047,6,15596.4395885468
7365,384,1,16,24243,8,19106.6668069363
7365,384,2,64,12112,8,15843.9873158932
7365,384,4,256,6047,8,14512.3747704029
7365,384,2,64,12112,8,15859.1877229214
7365,384,4,256,6047,8,14426.2874085903
